"","Institution","Department","Position","Position type","Field","Posted","Deadline","conference1","conference2","conference3","email1","email2","email3","email4","link1","link2","link3","link4","link5","link6","link7","link8","fulltext_final"
"1","University of Milan Bicocca (Università Degli Studi di Milano Biocca)","Department of Economics, Management, and Statistics (Dipartimento di Economia, Metodi Quantitativi e Strategie di Impresa)","Post-doctoral positions","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Department of Economics Management and Statistics (DEMS) at the University of Milano-Bicocca invites applications for several post-doc positions.DEMS is devoted to promote high-quality research, seminars and conference activities, with the aim of contributing to the national and international policy debate. DEMS has been recently funded by the Italian Ministry of University and Research under the program Departments of Excellence” for 2018-2022.One position is a 2+2 years researchscholarship (Assegno di Ricerca), while the others are 1 year positions (Borse di Ricerca). All fields of Economics will be considered, but preference will be given to the research areas most closely linked to our Department of Excellence grant and the recently created Center for European Studies (CefES):1-EU governance and the interaction of national and supranational governments2-Analysis of the convergence of European countries3-Macroeconomic policyregarding a larger EU budget and fiscal policies coordination4- EU financial system risk monitoring5- Markets integration and industrial policy6- Analysis of EU commercial and migration policiesApplicants should send their CV, job market paper and two reference letters by the 16th of November 2018.Interviews will be held in Naples during the meetings of the EEA on December 6-7. Time and place will be notified to the shortlisted candidates in due course. Letters of reference required: 2 Location of job: Piazza Ateneo Nuovo 1, Milano, ItalyThe recruiter is interviewing applicants at the following conference:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018"
"2","New York University","Economics, Stern School of Business","Tenure-track positions beginning September 2019","Postdoctoral Scholar","Any field","6 Nov 2018","5 Dec 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Economics Department at the Stern School of Business, New York University, anticipates openings for multiple tenure-track positions starting September 2019. Preffered fields are macroeconomics/international economics, economic/financial history, and microeconomic theory/industrial organization. Applicants should have a PhD, or be assured of its completion within one year of the 2018-2019 academic year. All candidates are expected to be effective teachers of undergraduate, MBA and PhD students. In addition, candidates for tenured-track appointments are expected to be productive researchers. Deadline for application is December 1st, 2018. Letters of reference required: 3 Location of job: 44 West 4th Street, New York City, New York, 10012, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"3","University of the Fraser Valley","Economics","Assistant Professor, Economics","Assistant Professor, Associate Professor","Various fieldsInternational Finance/Macro, International Trade, Macroeconomics; Monetary","6 Nov 2018","1 Dec 2018","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Posting:  2018.221Position: Assistant Professor, EconomicsDepartment: Economics, College of ArtsStatus: Faculty, Permanent (tenure-track); 100% full-time Start Date: August 1, 2019Review Date:  December 17, 2018About UFVThe University of the Fraser Valley (UFV) is nationally recognized for its emphasis on teaching excellence, experiential and applied education, community engagement, and Indigenization. UFV is the school of choice for over 15,000 students. With six campuses and centers, UFV offers undergraduate and graduate programs in the arts, sciences, and professional studies, as well as trades and technology education, university preparation and continuing education.At UFV, we are dedicated to changing lives and building community. Our educational goals are to prioritize learning everywhere; be flexible and responsive; collaborate across boundaries; develop local and global citizenship; and integrate experiential learning. A British Columbia Top Employer”, we are committed to providing a welcoming, inclusive, and dynamic learning and working environment that is fair and respectful of everyone. Our culturally diverse employee and student populations reflect the local, national, international and Indigenous communities we serve. If you see yourself as a lifelong member of a community that values and nurtures innovation and creativity, cultivates leadership and citizenship, and where success builds on success, you belong at UFV.Posting DetailsThe department of Economics offers a Bachelor of Arts, Major and Minor in Economics. A distinguishing feature of our program is its applied nature, and the consistent development and application of computational skills and interaction with real-world data at all levels of curriculum. Small class sizes and close faculty-student interaction are key pedagogical aspects of the effective implementation of this curriculum which aligns with an institution-wide emphasis on experiential learning.The department provides significant instructional service to other programs within the institution, including Global Development Studies and those offered by the School of Business. The department and its faculty foster a collegial and cross-disciplinary emphasis in developing and implementing its economic curriculum. This interdisciplinary emphasis extends to collaborations in research and community involvement.The department of Economics invites applications for a tenure-track faculty position. The successful candidate will be expected to teach a range of courses at all levels of the undergraduate curriculum offered by the department. Applications from candidates from all fields will be accepted, but the successful candidate will be required to teach in more than one field at the upper-level and apply appropriate empirical methods at all levels of teaching.We seek applicants who share our passion for, and commitment to, excellence in undergraduate teaching in a student-centered environment and who successfully integrate their scholarship into their teaching.Applicants must have exceptional communication and teaching skills and a demonstrated excellence in teaching at the undergraduate level.Evidence of potential for developing experiential learning and applied research opportunities for students is required; experience in this area would be considered advantageous. Demonstrable experience in technology-supported teaching (e.g. hybrid, on-line, and computer-assisted learning) would be an asset. The successful candidate will show aptitude for working in team situations and an interest in innovative inter-disciplinary teaching. Applicants will have a strong record of research productivity commensurate with their experience; demonstrated ability to establish a successful research program; and an ability to incorporate their research into applied learning opportunities for students.The successful applicant will be able to demonstrate strong communication, leadership, and administrative potential. The successful applicant will be expected to actively participate in departmental activities, service, events, and initiatives, and to work collaboratively across the institution. A commitment to an ongoing program of professional development is required.The successful applicant will have a demonstrable ability to collaborate/interact effectively with external bodies or agencies. We particularly encourage applications from Indigenous scholars or teachers or researchers with experience of racialization or colonization.QualificationsThe successful candidate will have a Ph.D. in Economics, or solid indication of imminent completion. This individual will be able to provide evidence of effective teaching practices and the potential for innovative curriculum and pedagogy (including experiential learning). This individual will possess the potential for impactful service and leadership at the department and institutional levels.The successful candidate will have research contributions that are impactful in the discipline and have the potential for integration in the curriculum of the program. They will also possess the potential for interdisciplinary collaborations in both teaching and research.Relevant industry experience is highly desirable. How to ApplyApplicants should submit a cover letter, a curriculum vitae, a statement of teaching philosophy and three letters of reference. Applicants are encouraged to submit any additional resources that demonstrate their teaching effectiveness and/or research potential. These include teaching evaluations, sample course material, or samples of research output. Direct your application - referring to Posting #2018.221 to:Human ResourcesUniversity of the Fraser Valley33844 King Road, Abbotsford, BC, Canada V2S 7M8Tel: (604) 854-4554 Fax: (604) 854-1538 Website: www.ufv.caEmail applications to: hrinfo@ufv.caThe Selection Advisory Committee will begin reviewing applications on December 17, 2018; however, the position will remain open until filled. Shortlisted applicants may be required to undergo a criminal record check. All qualified candidates are encouraged to apply; however, Canadians and permanent residents will be given priority. In an effort to be both environmentally and fiscally responsible, UFV will contact only candidates receiving an interview. We thank all applicants for considering UFV for employment. UFV is committed to the principle of equity in employment.To apply, send a message to hrinfo@ufv.ca.(See posting for details.) Letters of reference required: 3 Location of job: University of Fraser Valley, Abbotsford, BC, V2S 7M8, Canada"
"4","Universitat de les Illes Balears","Departament d'Economia de l'Empresa (Business Econ","Assistant or Associate Professor, Universitat de les Illes Balears","Assistant Professor","Any field","5 Nov 2018","5 Dec 2018",NA,NA,NA,"mailto:hrinfo@ufv.ca","mailto:hrinfo@ufv.ca",NA,NA,"https://www.ufv.ca/economics/",NA,NA,NA,NA,NA,NA,NA,"The Department of Business Economics at the University of Balearic Islands in Spain invites applications for full-time faculty positions at the level of tenure track Assistant or Associate Professor in Business Economics, Management, Corporate Finance, Marketing, and Accounting. Candidates are expected to have completed their PhD by end June, 2019. Our department is growing and seeking for talented applicants who demonstrate a strong potential for research excellence and high quality teaching at both the graduate and the undergraduate levels. Additional information about the department is available on our website at http://dee.uib.eu. Since most teaching in the University is either in Spanish or in Catalan, the ability to teach at least in one of these two languages is required in two years. Open positions are to begin in September 2019.Application procedure:Applications should include:1. A cover letter specifying the selected area of interest;2. Curriculum vitae;3. Job market paper;4. Two letters of recommendation.Applications must be submitted electronically at https://econjobmarket.org/.Please, specify the position you are applying for by either selecting ""Business Economics”, Management"", Corporate Finance”, Marketing, or Accounting” in your primary field. Qualified candidates will be invited to give a seminar in the department.Application deadline: December 31st 2018 For further information, please email Eduard Alonso at eduard.alonso@uib.es Letters of reference required: 2 Location of job: Edifici Jovellanos Universitat de les Illes Balears,Campus Cra. Valldemossa Km. 7.5, Palma de Mallorca, Illes Balears, 07122, Spain"
"5","Markets, Organizations, and Votes in Economics","MOVE","Research Positions in Labor Econ, Structural Microeconometrics or related fields","Assistant Professor, Associate Professor","Various fieldsFinance, Business Economics, Accounting, Management, General, Marketing","5 Nov 2018","31 Dec 2018",NA,NA,NA,"mailto:eduard.alonso@uib.es",NA,NA,NA,"https://econjobmarket.org/",NA,NA,NA,NA,NA,NA,NA,"Fundació MOVE (Markets, Organizations, and Votes in Economics) invites applications for research positions in Labor Economics, Structural Microeconometrics, or related fields. MOVE is a research institute located at the Bellaterra Campus of the Universitat Autònoma de Barcelona (UAB), next to the Department of Economics and Economic History at UAB, and also next to the Institute for Economic Analysis (IAE-CSIC). Positions are open for up to 4 years, starting in the Fall Term of 2019. Positions will not involve teaching obligations, but additional teaching opportunities may be available. The possibility of coordinated offers with UAB that involve an associated tenure track” position after the 4 years may also be available.The positions will be funded by the European Research Council (ERC) Starting Grant n. 804989, under the direction of Professor Joan Llull, and is directed to candidates working on fields related to Migration, Human Capital Accumulation, Structural Microeconometrics or, more broadly, Applied Microeconometrics, Quantitative Macroeconomics, or Labor Economics.Please apply via website: https://econjobmarket.org. Applications should include a CV, a sample of recent work and at least three letters of recommendation.Further information about MOVE can be found at www.movebarcelona.euPlease direct specific questions about the position to Professor Joan Llull (joan.llull@movebarcelona.eu), or write to marta.vallejo@movebarcelona.eu for inquiries about the application process.Deadline for SAEe and ASSA interviews: November 24, 2018 (MOVE will be conducting interviews at the SAEe in Madrid, December 13th-15th, 2018, and the ASSA Meetings in Atlanta, January 4-6th, 2019).Final Deadline: March 31, 2019 Letters of reference required: 3 Location of job: Universitat Autònoma de Barcelona, Campus UAB, Ed. B, Bellaterra, Cerdanyola del Vallès, Barcelona, 08193, SpainThe recruiter is interviewing applicants at the following conferences:Simposio de la Asociación Española de Economía, Madrid, Spain, 1315 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"6","Universita Commerciale Luigi Bocconi","Economics","POST-DOCTORAL RESEARCH POSITION IN ECONOMICS OF CRIME","Other academic","Labor; Demographic Economics","4 Nov 2018","31 Mar 2019","https://www.aeaweb.org/conference/",NA,NA,"mailto:joan.llull@movebarcelona.eu","mailto:marta.vallejo@movebarcelona.eu",NA,NA,"https://econjobmarket.org/",NA,NA,NA,NA,NA,NA,NA,"Bocconi University is offering one post-doctoral research position in Economics of Crime starting on September 1st, 2019. The position is financed by the Endowed Associate Professorship in the Economic Analysis of Crime (Prof. Paolo Pinotti). The successful candidate will be a young researcher with strong quantitative skills, holding (or being close to complete) a PhD in Economics or related disciplines. (S)he will conduct independent research while concurrently collaborating with Prof. Pinotti and other Bocconi professors on ongoing projects in the area of crime and related fields (political economy, labor, and development).The contract will run for 4 years, subject to a renewal after the first 2 years. The renewal will be based solely on satisfactory performance (funding is guaranteed for all 4 years). There are no teaching obligations for the entire duration of the contract. Salary is competitive with European research universities. Generous research funds will also be available.Candidates for the positions should submit to recruiting-adr@unibocconi.it: the application form, a cover letter, up to 4 reference letters, a CV, a job market paper and a list of other papers and publications. The deadline for submissions is February 1th, 2019. Applications will be considered on a rolling basis starting immediately. Interviews may be arranged on Skype or at the European Job Market in Naples (December 6-7, 2018) and at the ASSA Meetings in Atlanta (January 4-6, 2019).To apply, visit https://www.unibocconi.eu/wps/wcm/connect/bocconi/sitopubblico_en/navigation+tree/home/faculty+and+research/faculty/faculty+recruiting/post-doc+grants.(See posting for details.) Letters of reference required: 4 Location of job: Bocconi University, Milan, ItalyThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"7","European Central Bank","All departments","Economist Positions","Postdoctoral Scholar","Various fieldsDevelopment; Growth, Behavioral Economics, Political Economy","3 Nov 2018","1 Feb 2019","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,"https://www.unibocconi.eu/wps/wcm/connect/bocconi/sitopubblico_en/navigation+tree/home/faculty+and+research/faculty/faculty+recruiting/post-doc+grants",NA,NA,NA,NA,NA,NA,NA,"The Directorate General Monetary Policy (DG/MP) of the European Central Bank will participate in the 2018 European Job Market in Naples and looks forward to interviewing current and prospective PhD economists eager to join our team. DG/MP offers a unique and exciting work environment for applied researchers with an interest in the design of monetary policy and its transmission via financial markets, banks and other intermediaries to inform the ECBs monetary policy decisions. Successful candidates will be expected to actively contribute to DG/MPs policy work and to conduct and publish high-quality research.Further information about the ECB, its mission and conditions of employment is available at: https://www.ecb.europa.eu.The interviews will take place on 6-7 December 2018 in the context of the European Job Market hosted by the European Economic Association in Naples. Applicants should have, or be close to finalising, a PhD in economics, finance or a related field. Female candidates are particularly encouraged to apply. Applications should include a CV, a sample of recent research, two letters of reference, and a short motivation letter and must be submitted by 23 November 2018via email to: eea@ecb.europa.eu. Further information regarding this event is available on the EEA website (link). The Directorate General Monetary Policy may share your candidacy with other hiring managers in the ECBs Directorate General Economics and the Directorate General Research.To apply, send a message to eea@ecb.europa.eu.(See posting for details.) Letters of reference required: 2 Location of job: Sonnemannstraße 20, Frankfurt am Main, 60314, GermanyThe recruiter is interviewing applicants at the following conference:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018"
"8","RWTH Aachen University","Chair of Economics (Microeconomics)","Postdoc in Market Design","Other nonacademic","Econometrics, Macroeconomics; Monetary","3 Nov 2018","23 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,"mailto:eea@ecb.europa.eu","mailto:eea@ecb.europa.eu",NA,NA,"https://www.ecb.europa.eu/","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,NA,NA,NA,NA,"Our profile:Research interests in the microeconomics group are focused on applied game theory, experimental economics and behavioral economics. We are particularly interested in research topics related to market design such as auctions or matching. We offer infrastructure for running economic experiments and are able to provide financial support for research-related expenses.Your profile:- You hold a doctorate/Ph.D. or equivalent in Economics or a related field by the start of the appointment.- Your research is in experimental and theoretical microeconomics with a focus on market design questions.- Your research has been published or has a potential to be published in top peer reviewed journals.- You have an excellent command of English.- You are a creative and resourceful team player.Your responsibilities:- You will primarily be involved in conducting scientific research in collaboration with other researchers within the research group.- You will also have an opportunity develop and implement your own projects.- You will teach primarily in the field of microeconomics either at bachelor or at master level (in English), and potentially also supervise student theses.What we offer:- The position is for 3 years and is to be filled as soon as possible.- This is a full-time position. It is also available as a part-time position per request.- The required teaching/supervision load is 4 hours per week.- The salary corresponds to level TV-L 13.Your contact person:For further details, please contactThomas KittsteinerThomas.Kittsteiner@rwth-aachen.de+49 (0) 241 80 96155http://www.mikrooekonomie.rwth-aachen.de/english/index.htmorPeter KatuscakPeter.Katuscak@vwl1.rwth-aachen.de+49 (0) 241 80 96152For further information, please visit our website at:http://www.mikrooekonomie.rwth-aachen.de/english/index.htmApplication:Please submit an application that includes your CV, a research paper, a statement of planned research and at least two letters of recommendation by December 17, 2018. We will be present at the European Job Market for Economists in Naples on Dec. 6-7, 2018 to meet interested candidates. You can submit your application via EconJobMarket.org, or by mail toSabine OttRWTH Aachen University - Chair of MicroeconomicsSecretary, Room 533Templergraben 6452062 AachenGERMANYYou can also send your application via email to kontakt@vwl1.rwth-aachen.de. Please note, however, that communication via unencrypted e-mail poses a threat to confidentiality as it is potentially vulnerable to unauthorized access by third parties.RWTH Aachen University is certified as a ""Family-Friendly University"". We particularly welcome and encourage applications from women, disabled persons and ethnic minority groups, recognizing they are underrepresented across RWTH Aachen University. The principles of fair and open competition apply and appointments Letters of reference required: 2 Location of job: RWTH Aachen University, Templergraben 64, Aachen, 52062, GermanyThe recruiter is interviewing applicants at the following conference:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018"
"9","Carnegie Mellon University, Qatar","Business Administration","Assistant Teaching Professor, Economics","Postdoctoral Scholar","Various fieldsExperimental Economics, Microeconomics, Theory, Behavioral Economics","3 Nov 2018","17 Dec 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,"mailto:kontakt@vwl1.rwth-aachen.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carnegie Mellon University in Qatar, branch campus of Carnegie Mellon University, seeks applicants for a teaching position in Economics beginning in Fall Semester, 2019. This is a career-oriented appointment with primary responsibility for teaching and contributions to the educational mission of the undergraduate Business Administration program in Doha, Qatar. Applicants are expected to have a Ph.D. in Economics or a closely related field at the time of appointment, outstanding teaching skills, and a passion for student and community engagement. Carnegie Mellons undergraduate Business Administration program emphasizes a quantitative, analytical approach, training students in the foundations of business. We seek an engaging colleague, passionate about teaching, whose primary responsibility is to deliver core economics requirements and economics minor electives to business administration students. Applicants with a focus on applied/empirical economics who may also contribute to depth courses are encouraged. A successful candidate should be able to teach undergraduate courses such as Principles of Microeconomics, Intermediate Macroeconomics, Data Mining & Business Analytics, and Data Science for Economists. The position also provides the opportunity to develop further, personal research interests. To apply, interested candidates must submit electronically at http://apply.interfolio.com/56718. Priority is given to applications before November 30, 2018. More information, see https://www.qatar.cmu.edu/academics-research/academics/business-administration/To apply, visit https://apply.interfolio.com/56718.(See posting for details.) Letters of reference required: 3 Location of job: Carnegie Mellon University Qatar, Education City, Doha, QatarThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"10","Tilburg University","Department of Economics, Tilburg School of Economics and Management","Postdoc Position in Economics (15441)","Assistant Professor","Any field","3 Nov 2018","31 Jan 2019","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,"https://apply.interfolio.com/56718",NA,NA,NA,NA,NA,NA,NA,"We are inviting applications for a postdoc position at the Department of Economics of TiSEM, Tilburg University. The postdoc will be involved in a research project on Discriminative preferences and fairness ideals in diverse societies” funded by the ERC Consolidator grant of Sigrid Suetens.Project summary The project systematically studies ethnic discrimination in European societies. The project consists of three main objectives. A first objective is to investigate whether and how preferences of European natives in social interactions depend on others ethnicity. Are natives as altruistic, reciprocal, envious to immigrants as compared to other natives? A second objective is to study whether natives have different fairness ideals—what constitutes a fair distribution of resources from the perspective of an impartial spectator—when it comes to natives than when it comes to non-natives. A third objective is to analyze whether preferences and fairness ideals depend on exposure to diversity: do preferences and fairness ideals of natives change as contact with non-natives increases, and, if so, how?The positionThe position is a two-year position. The position is targeted at an experimental economist who has expertise in designing and implementing laboratory experiments. The successful candidate is expected to contribute to the ERC research project but will have ample time for independent research. There will be a light teaching load (representing 0.1 fte).RequirementsCandidates for the position must evidence the following qualifications: (i) A PhD or equivalent degree in economics or a related field (or a PhD manuscript approved by August 2019); (ii) Research experience or publications that are indicative of a strong desire and ability to perform high-quality research; (iii) Genuine interest in the research topic of the ERC project; (iv) Experience with the design and implementation of laboratory experiments (including knowledge of zTree, oTree or PhP etc.); (v) Strong command of English.Terms of employment The starting date is in principle September 1 2019 but other starting dates may be considered. Tilburg University offers competitive European salaries. The salary for a full-time contract ranges between € 2,640.- and € 3,425.- per month (not including various allowances) according to scale 10. For researchers coming from outside the Netherlands, under certain conditions the university can apply for a tax-free allowance equal to 30% of taxable salary. The university offers very good fringe benefits: the possibility to determine benefits individually, excellent reimbursement of relocation costs, etc.Applications The deadline for applications is November 20, 2018. Applying for this vacancy can only be done online, through the following link http://www.tilburguniversity.edu/about-tilburg-university/working-at/wpApplications should include a cover letter indicating how the candidate meets the requirements set out above, as well as a curriculum vitae, copies of relevant written work, and two letters of recommendation or the names of two references. The letters of recommendation can be sent to P.A.Munoz@uvt.nl.The most promising candidates will be interviewed at the EEA Job Market in Naples or invited for a skype interview in December or January.InformationFor questions about the contents of the project, feel free to contact Sigrid Suetens at s.suetens@uvt.nl or +31 13 466 8790.For information about the research group of which the postdoc researchers will be part, please visit: Behavioral and Experimental Economists @ Tilburg.For information about the department, please visit: Department of Economics.For information about the school, please visit: TiSEM.Tilburg UniversityTilburg University is a modern university, specialized in the social sciences and the humanities. It is internationally known for its high standards in education and scientific research as well as its good support facilities. The Tilburg University campus offers both quietness and connectivity as it is located in a wooded park, ten minutes away from the city center. A mid-sized city of 200,000 inhabitants in the South of the Netherlands, and in proximity to Amsterdam, Brussels, Paris, and London, Tilburg is located at the very heart of Europe.Tilburg School of Economics and ManagementTilburg School of Economics and Management (TiSEM) is the university largest faculty. TiSEM offers well reputed academic research and education. Its research belongs to the European top. The education programs, of which the majority are offered completely in English, are on the international map with the AACSB accreditation awarded in 2002. Employees and students form an ambitious international community.Tilburg School of Economics and ManagementRecruitment code Tilburg University applies the recruitmentcode of the Dutch Association for Personnel Management & Organization Development (NVP).Disclaimer The text of this vacancy advertisement is copyright-protected property of Tilburg University. Use, distribution and further disclosure of the advertisement without express permission from Tilburg University is not allowed, and this applies explicitly to use by recruitment and selection agencies which do not act directly on the instructions of Tilburg University. Responses resulting from recruitment by non-contractors of Tilburg Universities will not be handled. Apply Save Job Email Job to Friend Return to List         Email this job to a friend<U+E1EC><U+E203>The job has been sent to Please provide the information belowJob title:*Your email address: *Your friend's email address: Message:Maximum character limit: 1000*Confirm you are not a robot:SendCancel To apply, send a message to p.a.munoz@uvt.nl.(See posting for details.) Letters of reference required: 2 Location of job: See advertisementThe recruiter is interviewing applicants at the following conference:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018"
