,X,joe_issue_ID,jp_id,jp_section,jp_institution,jp_division,jp_department,jp_keywords,jp_title,jp_full_text,jp_salary_range,jp_agency_insertion_num,jp_new,locations,JEL_Classifications,Application_deadline,domestic,country,iso3,otherdate,url,InquiryEmail,otherdate_noyear,otherdate_day,otherdate_month,otherdate_asDate_ready,deadline_other,true_deadline,ft,myfields,positionsToKeep
1,1028,2018-02,111460294,"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",World Bank Group,Poverty and Equity,Global Engagement,"Development Economics, Applied Econometrics, Data Science",Data Scientist/Poverty Economist Consultant,"The Data for Goals Team of the World Bank<U+2019>s Poverty and Equity Global Practice invites applications for a Data Scientist/Poverty Economist Consultant. The position is for up for 150 consulting days until June 2019, starting in September, 2018. The role requires outstanding STATA programming skills, and experience harmonizing and analyzing household surveys. Excellent knowledge of Excel macros is also required. The consultant will primarily support a team of data scientists in producing innovative data-based products on poverty and inequality. This work requires the ability to work under tight and sometimes shifting deadlines, so strong attention to detail and the ability to work as part of a team are a must. Tasks include archiving, harmonizing, cleaning, analyzing household survey data related to poverty, generating standard indicators, and creating visualizations. In some cases, the consultant may be asked to contribute and/or lead specialized research projects on poverty according to demand.  Interested candidates should submit their CV, a sample .do file, and a short cover letter (max. 700 characters) through the JOE no later than August 15, 2018.",$270 to $320 per day net of tax,NA,NA,UNITED STATES District of Columbia Washington DC,"O0 - General
Y1 - Data: Tables and Charts",8/15/2018,TRUE,UNITED STATES,USA,,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460294,,NA,NA,NA,NA,NA,8/15/2018,FALSE,TRUE,TRUE
2,530,2018-02,111460265,International: Other Academic (Visiting or Temporary),OECD,"Employment, Labour and Social Affairs Directorate",NA,"Labor, Future of Work",Future of Work Fellowship Scheme 2018/19,"The OECD Future of Work Fellowship Scheme aims to promote new and innovative doctoral research in the fields of economics, statistics, sociology and other related social sciences which will provide better evidence to help policy makers across OECD countries respond to how challenges such as globalisation, demographics and technological change are affecting labour markets.

Each Fellow will be awarded a bursary of EUR 5,000 to support their research for a maximum period of 12 months (non-renewable). In addition, the OECD will finance the cost of one economy return ticket to Paris (as well as any accommodation costs) for the Fellows to come and present their work at the OECD (or to an alternative location should the OECD Secretariat decide so). 

Any PhD student and postdoctoral researcher currently enrolled at university may apply, regardless of the year they are in. Students on the job market are especially encouraged to apply. Fellows maintain their affiliation whilst they are completing their Fellowship and are not expected to spend any time at the OECD in Paris (except for when they come to present their work). The deadline is September 14, 2018.
",5000<U+20AC>,NA,NA,FRANCE Paris,J - Labor and Demographic Economics,9/14/2018,FALSE,FRANCE,FRA,,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460265,,NA,NA,NA,NA,NA,9/14/2018,FALSE,FALSE,TRUE
3,45,2018-02,111460434,International: Other Academic (Visiting or Temporary),Australian National University,College of Business and Economics,Research School of Economics,NA,Postdoctoral Fellow,"Terms: Full-time, Fixed term (3 years)

The Research School of Economics (RSE) at The Australian National Univeristy (ANU) is seeking to appoint a world leading early career researcher with demonstrated experience in development economics, international economics or political economy.

Sitting within ANU College of Business and Economics (CBE), the RSE is one of Australia<U+2019>s premier research institutions and provides an outstanding environment for economic research. ANU has long been recognised as one of the leading centres in the world for economics research and education.  The school is home to experts in international trade, public finance, and macroeconomics with strong links to policy and political communities.

The ANU College of Business and Economics (CBE) educates the next generation of leaders, professional economists and academics. Our graduates have the knowledge and skills to lead organizations, design public policy, and research the big issues of business and economy. Located in the national capital, we engage deeply with the business and policy communities. Our academics lead public debate on the critical issues of our time through their research, which is both long term and strategic in focus. Our internationally diverse student body is evenly divided between undergraduate and postgraduate study, and we have a large doctoral program. Our alumni may be found in the world's leading companies, policy agencies and universities.

For further information about RSE please see our web site: https://www.rse.anu.edu.au/

For all enquiries please contact Professor Markus Brueckner, E: markus.brueckner@anu.edu.au 

The University actively encourages applications from Aboriginal and Torres Strait Islander people. For more information on employment opportunities, contact our Indigenous Employment Consultant on indigenous.employment@anu.edu.au 
ANU values diversity and inclusion and is committed to providing equal employment opportunities to those of all backgrounds and identities. For more information about staff equity at ANU, visit https://services.anu.edu.au/human-resources/respect-inclusion

Application information

In order to apply for this role please make sure that you upload the following documents:

A statement addressing the selection criteria
Job market paper
A current curriculum vitae (CV) 
Teaching evaluations
Letters of reference (3)
 

Applications which do not address the selection criteria may not be considered for the position.","AUD70,107 - 88,446 plus 17% Superannuation",NA,NA,AUSTRALIA Australian Capital Territory Canberra,00 - Default: Any Field,9/15/2018,FALSE,AUSTRALIA,AUS,,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460434,markus.brueckner@anu.edu.au,NA,NA,NA,NA,NA,9/15/2018,FALSE,TRUE,TRUE
4,551,2018-02,111460177,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Pontificia Universidad Cat<U+00F3>lica de Chile,NA,Economics Department,NA,Associate or Full Professor,"The Economics Department at the Pontificia Universidad Cat<U+00F3>lica de Chile (www.economia.puc.cl) is seeking one faculty member at the Associate or Full Professor level. Candidates in any field will be considered. Starting date will be in July 2019.

Candidates should show an excellent record of research productivity and a capacity for effective teaching at the undergraduate and graduate level.

Applicants must submit a curriculum vitae, one research paper and three professional references including name, title, phone number and email address.

Selected candidates will be interviewed between September and December 2018.

For more information please write to Isidora Rivera, email: msrivera@uc.cl",NA,NA,NA,CHILE Regi<U+00F3>n Metropolitana Santiago,00 - Default: Any Field,9/15/2018,FALSE,CHILE,CHL,,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460177,msrivera@uc.cl,NA,NA,NA,NA,NA,9/15/2018,TRUE,TRUE,FALSE
5,361,2018-02,111460283,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Indiana University,College of Arts and Sciences,Department of Economics,Macroeconomics,Associate Professor of Economics,"The Department of Economics at Indiana University has authorization to make several tenure appointments at the rank of Associate Professor in the field of Macroeconomics. Candidates must have a completed Ph.D. and demonstrate the capacity for high-quality research and instruction at both undergraduate and graduate levels. To be certain of receiving full consideration, applications for the Associate Professor positions should be received by September 20, 2018. 

Applications must include six letters of recommendation and Curriculum Vitae.  Interested candidates should review application requirements and submit application at: https://indiana.peopleadmin.com/postings/6239. Questions regarding position or application process can be directed to Howard Swyers, Department of Economics, Wylie Hall 105, 100 S. Woodlawn Ave, Bloomington, IN 47405; (812)855-0836; econadmn@indiana.edu

The College of Arts and Sciences is committed to building and supporting a diverse, inclusive, and equitable community of students and scholars. Indiana University is an equal employment/affirmative action employer and provider of ADA services.  All qualified applicants will receive consideration for employment without regard to age, ethnicity, color, race, sex, sexual orientation or identity, national origin, disability status or protected veteran status.
",Competitive,NA,NA,UNITED STATES Indiana Bloomington,E0 - General,9/20/2018,TRUE,UNITED STATES,USA,,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460283,econadmn@indiana.edu,NA,NA,NA,NA,NA,9/20/2018,TRUE,TRUE,FALSE
6,776,2018-02,111460452,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",University of Calgary,Haskayne School of Business,NA,"Policy
Business","Assistant or Associate Professor, Energy and Environmental Policy","The Haskayne School of Business at the University of Calgary invites applications for an Assistant or Associate Professor position in Energy and Environmental Policy. This is a <U+2018>full time tenure track<U+2019> for the Assistant Professor rank and <U+2018>with tenure<U+2019> for the Associate Professor rank appointment and includes a secondment of 75% to the School of Public Policy.  The anticipated start date is January 1, 2019.

We are seeking a scholar with an established and active research program in <U+2018>energy and environment<U+2019> policy. The successful applicant will have a Ph.D. in a relevant academic discipline, such as, but not limited to business economics, business administration, strategy, policy sciences or energy systems engineering.  Candidates must have a proven record of research in the one of the following fields of policy analysis: energy systems; strategic interactions between firms and regulatory agencies in the energy sector; economic and strategic evaluation of energy systems and infrastructure (including transportation); the organization of energy markets; the assessment of the environmental impacts of energy sector activities and related stakeholder management needs. 
Interested applicants are encouraged to visit the following URL for application instructions: https://careers.ucalgary.ca/jobs/3008556-assistant-or-associate-professor-energy-and-environmental-policy-haskayne-school-of-business
",NA,16195,NA,CANADA AB Calgary,Q - Agricultural and Natural Resource Economics; Environmental and Ecological Economics,9/20/2018,FALSE,CANADA AB,CAN,,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460452,,NA,NA,NA,NA,NA,9/20/2018,TRUE,FALSE,TRUE
7,54,2018-02,111460516,International: Other Academic (Visiting or Temporary),Bank of Finland,Research Unit,Monetary Policy and Research Department,Macroeconomics; Monetary Policy; Financial Stability,Visiting Scholars Programme,"The Bank of Finland's Research Unit invites applications for the Visiting Scholars Programme in the areas of interest for the Bank, i.e. macroeconomics, monetary policy and financial stability.

Timing and Duration:
Visits will take place between January and June 2019. We do not accept applications for July due to holiday season. Visits usually last between one and three weeks, although longer periods are also possible.

Applicants:
Candidates should hold a doctoral degree in Economics or Finance at the time of applying and be active researchers. Priority will be given to first-time visitors.

Funding and Accommodation:
We offer a salary and reimburse a single round-trip economy class ticket to Helsinki.  The salary is commensurate with the Visiting Scholar<U+2019>s professional background, experience and the Bank of Finland wage scale. We do not cover accommodation expenses for visitors who accept the salary. However, we help in finding accommodation in Helsinki during the visit.

Permanent Link:
https://www.suomenpankki.fi/en/research/visitor-programmes/research-unit-visiting-scholars-programme/

Future Calls for Applications:
The Visiting Scholars Programme is biannual. The call for applications for visits in Fall 2019 (August-December) will be released in March 2019.",NA,NA,NA,FINLAND Uusimaa Helsinki,"00 - Default: Any Field
E - Macroeconomics and Monetary Economics
F - International Economics
G - Financial Economics",9/28/2018,FALSE,FINLAND,FIN,,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460516,,NA,NA,NA,NA,NA,9/28/2018,FALSE,TRUE,FALSE
8,998,2018-02,111460303,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Vrije Universiteit Amsterdam,School of Business and Economics,Spatial Economics Hermine Weijland Fellowship,NA,Associate Professor of Environmental and Resource Economics,"Associate Professor of Environmental and Resource Economics - 18267

The selected Hermine Weijland Fellow will be offered:

<U+2022> A tenure track position in the position of Associate Professor which, upon successful completion, will lead to an appointment as Professor;
<U+2022> 50% research time, over a three-year period. In the following years, research time will be allocated on the basis of research output, up to a maximum of 50%;
<U+2022> Supervision of a PhD candidate (timing during the track upon review);
<U+2022> An attractive research budget to be used for scientific publications, the preparation of applications/requests for indirect and commercial funding, and attending conferences;
<U+2022> Personalized support from the VU Grants Desk and the SBE Research Office for the preparation of VENI/VIDI/VICI/ERC grants;
<U+2022> Following consultation, coaching in the form of participation in the VU Mentoring scheme for talented academic personnel or some other form of individualized coaching.
<U+2022> Nomination for participation in VU Amsterdam<U+2019>s course in female leadership

The Vrije Universiteit Amsterdam (VU) is seeking a distinguished and dynamic scholar specializing in an area of environmental and resource economics to join the Department of Spatial, Transport and Environmental Economics.

Requirements We seek candidates with a strong research interest and record in environmental and resource economics, excellent teaching abilities, advanced methodological skills, and a clear motivation to contribute to the department<U+2019>s societal valorization strategy. The candidate should have:
<U+2022> A PhD in economics or a closely related field;
<U+2022> Proven research experience resulting in international scientific publications, which should make the candidate (nearly) qualify as a Tinbergen Institute research fellow (http://www.tinbergen.nl/research-groups-researchers/tinbergen-fellow-requirements/);
<U+2022> The ability to initiate and lead a body of research. Examples of this include successful track record advising PhD students and success in obtaining external funding.
<U+2022> Excellent track record in academic teaching and experience in teaching and curriculum development;
<U+2022> The clear potential to grow towards a Full Professorship in the foreseeable future.
<U+2022> Experience in valorisation of research;
<U+2022> Experience at a university or research institute abroad.

Expectations:
<U+2022> Initiate and perform high-quality research in areas related to environmental and resource economics;
<U+2022> Active involvement in ongoing research projects and in acquiring new research grants;
<U+2022> Teach and coordinate bachelor and/or master courses offered by the department;
<U+2022> Supervise of bachelor and master theses;
<U+2022> Contribute to the management of the department / School committees;
<U+2022> Have or commit to obtaining a university teaching qualification.","The salary will be in accordance with university regulations for academic personnel, and depending on experience, range from a minimum of <U+20AC> 4.911,- up to a maximum of <U+20AC> 5.978,- (salary scale 13) based on full-time employment.",18267,NA,NETHERLANDS Noord-Holland Amsterdam,Q - Agricultural and Natural Resource Economics; Environmental and Ecological Economics,9/30/2018,FALSE,NETHERLANDS,NLD,,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460303,,NA,NA,NA,NA,NA,9/30/2018,TRUE,FALSE,TRUE
9,28,2018-02,111460545,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",American University,School of Public Affairs,Public Administration and Policy,"Health Policy
Health Services","Assistant Professor, Health Policy","The Department of Public Administration and Policy (DPAP) in the School of Public Affairs (SPA) at American University invites applications for a full-time, tenure-track position at the rank of Assistant Professor beginning August 1, 2019. Candidates who are at the level of senior Assistant Professor will also be considered. Applicants should have a PhD in health policy or services, public policy, political science, economics, or a closely related field. Review of applications will begin on October 1, 2018 and continue until the position is filled. For further information and application instructions go to: http://apply.interfolio.com/52305.

American University is an Affirmative Action employer.  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status.
",NA,NA,NA,UNITED STATES District of Columbia Washington,I1 - Health,NA,TRUE,UNITED STATES,USA,1-Oct-18,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460545,,1-Oct,1,10,10/1/2018,10/1/2018,10/1/2018,TRUE,FALSE,TRUE
10,335,2018-02,111460580,International: Other Academic (Visiting or Temporary),Hausdorff Center for Mathematics,NA,NA,"Theoretical Mathematics
Applied Mathematics
Mathematical Economics
Quantitative Economics",W2 Professorships - Bonn Junior Fellows,"The Hausdorff Center for Mathematics (HCM) at the University of Bonn brings together researchers in mathematics and its applications, including in particular quantitative economics. In this framework the center is looking forward to filling up to four

W2-Professorships 
(""Bonn Junior Fellows"")

subject to the approval of the proposal for a Cluster of Excellence within the Excellence Strategy of the German Federal and State Governments (decision on 27 September 2018).

These are temporary positions for a period of five years. To some of these positions, a tenure-track option is associated, and, in exceptional cases, a position may be tenured immediately. 

The University of Bonn is committed to diversity and equal opportunity and it is certified as a family-friendly university and has a dual career service. It aims to increase the proportion of women in areas where women are under-represented, in particular on tenured positions, and to promote their careers in particular. It is therefore intended to fill at least one third of the positions offered with women. Women with relevant qualifications are strongly encouraged to apply. 

Applications will be handled in accordance with the Landesgleichstellungsgesetz (State Equality Act). Applications from suitable individuals with a certified serious disability and those of equal status are particularly welcome.

The general conditions of employment are according to <U+00A7> 36 of the Higher Education Act of North Rhine-Westphalia (Hochschulgesetz des Landes Nordrhein-Westfalen). 

The Professorships: 
The professorships intend to encourage independent research by outstanding young researchers, in analogy to the research groups of the Max Planck Society or the Emmy Noether Program of the German Research Foundation. The professorships are endowed with travel and guest funds during the initial period. Bonn Junior Fellows also participate in the additional resources of the Hausdorff Center. Professors are encouraged to supervise doctoral students. 

The Candidates: 
We are looking for young researchers holding a doctoral degree who are about to develop their own research agenda and who have already demonstrated their scientific independence by relevant publications. Candidates should have some international research experience. German language skills are not required. 

Research Focus: 
We seek candidates who fit into the broad spectrum of the Cluster of Excellence. Depending on the respective research focus, candidates become members of the ""Faculty of Mathematics and Natural Sciences"" or of the ""Faculty of Law and Economics"" at the University of Bonn. 

The deadline for the application round is 1 October 2018. Expected starting date is not later than 1 October 2019. Deadlines for the following rounds and further details will be published at www.hcm.uni-bonn.de/opportunities/bonn-junior-fellows 

Applications should be sent, using our online application form 
www.hcm.uni-bonn.de/bjf/application, to the joint hiring committee: 
Prof. Dr. Karl-Theodor Sturm 
Coordinator Hausdorff Center for Mathematics 
Endenicher Allee 62 
53115 Bonn 
Germany
",NA,NA,NA,GERMANY NRW Bonn,"C - Mathematical and Quantitative Methods
D - Microeconomics
E - Macroeconomics and Monetary Economics
G - Financial Economics
Y - Miscellaneous Categories",10/1/2018,FALSE,GERMANY NRW,DEU,1-Oct-18,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460580,,NA,NA,NA,NA,NA,10/1/2018,FALSE,TRUE,FALSE
