"","X","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline","domestic","country","iso3","otherdate","url","InquiryEmail","otherdate_noyear","otherdate_day","otherdate_month","otherdate_asDate_ready","deadline_other","true_deadline","ft","myfields","positionsToKeep"
"1",124,"2018-02",111461606,"International: Other Academic (Visiting or Temporary)","University of Vienna","Faculty of Business, Economics and Statistics","Department of Economics","Public Economics, Philosophy and Economics","Assistant Professor in Economics","The Department of Economics at the University of Vienna invites applications for a position at the Assistant Professor level (<U+201C>University Assistant<U+201D>) in

<U+2022>	Public economics, and its philosophy, ID No. 9057

The contract for this position is for 4 years. The University of Vienna will be starting a new Master<U+2019>s program in Philosophy and Economics. The Department of Economics seeks applicants with a research interest in Public Economics who are able and willing to offer courses that are of interest to students in this new program. One area of interest is concerned with the question of to what extent public interests (such as good health care or education that is affordable to all people in the society) can be served by agents with private interests in an environment governed by market principles. To guide decisions one may use economic principles of efficiency and/or considerations in the realm of ethics and political philosophy. Other areas of interest are the foundation of rational choice and its critiques, and the history of economic thought. 

Applicants should have completed (or should be close to completing) a PhD in economics. Knowledge of German is an asset, but not required. The University of Vienna is an equal opportunity employer and aims at increasing the number of female faculty members. Therefore, it particularly encourages qualified women to apply. Information about the Department of Economics can be found on the website at http://econ.univie.ac.at. We will also be interviewing at the EEA job market in Naples, December 6 - 7, 2018.",NA,NA,NA,"AUSTRIA Vienna","H - Public Economics",2018-11-21,FALSE,"AUSTRIA","AUT","December 6 ","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461606","",NA,NA,NA,NA,NA,2018-11-21,FALSE,FALSE,TRUE
"2",45,"2018-02",111461553,"International: Other Academic (Visiting or Temporary)","Lancaster University",NA,"Economics","Behavioral Economics
Experimental Economics","Postdoc Research Associate in Behavioral/Experimental Economics","The Department of Economics of Lancaster University Management School (UK) is looking to recruit a postdoc research associate (on a fixed-term contract of 3 years) to work under the guidance of Professor Eyal Winter on Behavioural and Experimental Economics. You should have a research agenda and a track record aiming for publications in internationally recognised journals. You will be expected to participate fully in the intellectual life of the department, to maintain a high quality research agenda that reaches out to external networks of collaborators as well as contributing to research activities within the Department and the Faculty. This will include participating in externally funded collaborative research projects as well as seeking funding for one<U+2019>s own projects. The position comes with a very limited teaching load in your area of expertise.

Please direct informal inquiries to Professor Maurizio Zanardi (m.zanardi@lancaster.ac.uk), Head of the Economics Department, or to Professor Eyal Winter (e.winter2@lancaster.ac.uk), Chair of the Recruiting Committee.

A recruitment committee will conduct interviews at the European Job Market (in December in Naples) or via Skype.",NA,NA,NA,"UNITED KINGDOM Lancaster","D9 - Micro-Based Behavioral Economics",2018-11-23,FALSE,"UNITED KINGDOM","GBR","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461553","m.zanardi@lancaster.ac.uk",NA,NA,NA,NA,NA,2018-11-23,FALSE,FALSE,TRUE
"3",70,"2018-02",111461611,"Full-Time Nonacademic","Novocure",NA,NA,NA,"Manager/Sr. Manager - Health Policy  Economics and Analytics","Novocure is seeking to hire an individual who can establish a global health economics and analytics function. The role will report to the SVP Corporate Strategy and Health Policy and be a key position within the global health policy organization. The role is global and covers all current and future indications for TTFields. The individual will immediately assume responsibility for modelling, quantifying, and communicating the value of TTFields therapy in specific cancer indications. The individual will also be responsible for leading the publication strategy of HEOR projects. The individual will also contribute to the analytics and ongoing research necessary to design and maintain product pricing strategies. Additionally, the individual will be expected to support the clinical and commercial teams in assessing new clinical indications and markets.

The ideal candidate will be early career or finishing an academic program. The ideal candidate will be seeking an opportunity that allows her/him to develop broad skills in health decision economics, pricing strategy, outcomes research, clinical development strategy and corporate strategy. The candidate must have the skills, maturity and drive to be on the fast track toward a career as the head of economics and pricing strategy for a global healthcare company, or a similar role leading a corporate strategy function. 

Responsibilities 
<U+2022>Establish the health economics function for a global oncology company
<U+2022>Model, quantify and communicate the value of TTFields in multiple clinical indications
<U+2022>Publish research that supports global reimbursement filings and strategies
<U+2022>Contribute to the evolving academic literature of how to value innovative oncology treatments
<U+2022>Understand emerging health economics and reimbursement trends in the US, EMEA and Japan
<U+2022>Develop models, frameworks, and processes necessary to build a global pricing strategy function
<U+2022>Support clinical and commercial teams in evaluating potential future clinical indications
<U+2022>Support local market access reimbursement filings, including presenting economics models
<U+2022>Support overall corporate data analytics

Requirements
<U+2022>Ph.D. in economics from a top 20 program, or equivalent experience in investments / analytics
<U+2022>Excellent written and oral communication skills
<U+2022>Demonstrated maturity and ability to work with senior management and external KOLs
<U+2022>Ability to travel 20% of time

Preferred experience
<U+2022>Applied microeconomists and industrial organization economists preferred
<U+2022>Classic economic training is specifically preferred over specialized health economics degrees
<U+2022>Demonstrated interest in innovative technologies
<U+2022>Fellowship experience with innovative technology companies (e.g., Google, Facebook, Amazon)
<U+2022>Published author
",NA,NA,NA,"UNITED STATES Pennsylvania Malvern","D - Microeconomics
L0 - General",2018-11-23,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461611","",NA,NA,NA,NA,NA,2018-11-23,TRUE,FALSE,TRUE
"4",88,"2018-02",111461666,"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)","The International Food Policy Research Institute (IFPRI)","PHND",NA,"Applied microeconomics, economics, poverty, Washington, D.C.","Associate Research Fellow/Research Fellow (Economist)","IFPRI is recognized as a leading research institute in international development, focusing on strategies to reduce poverty and end hunger and malnutrition throughout the developing world.  In the widely used REPEC rankings of research institutions (http://ideas.repec.org/top/), IFPRI ranks #5 out of 200 institutions in development economics, #1 in agricultural economics and #2 in economics research on Africa. IFPRI<U+2019>s staff of nearly 500 (from more than 65 countries) undertake rigorous research that generates evidence to help solve the most pressing problems in development. 

IFPRI seeks an economist to serve as an Associate Research Fellow/Research Fellow for a two-year,renewable appointment in its Poverty Health and Nutrition Division (PHND). The selected candidate will conduct research in applied microeconomics, including conducting impact evaluations, on topics related to social protection; poverty; the interface between agriculture, health and nutrition; human capital development; and the role of gender in shaping development outcomes. Successful candidates will also have the opportunity to develop their own research projects and explore work in other areas that serve the broad research agenda of the Division and Institute, such as our work on large scale maternal and child health and nutrition programs.  This position is based at IFPRI headquarters located in Washington, D.C.  

Please note that Associate Research Fellow appointments at IFPRI have a maximum term of three (3) years, inclusive of any approved appointment extensions. After the maximum appointment term, Associate Research Fellows may be considered for promotion to Research Fellow based on peer-reviewed publications and other contributions to projects and the Institute.

To view the complete job description click on the following link http://chm.tbe.taleo.net/chm04/ats/careers/requisition.jsp?org=IFPRI&cws=37&rid=1912",NA,"18-148",NA,"UNITED STATES District of Columbia Washington","D - Microeconomics",2018-11-29,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461666","",NA,NA,NA,NA,NA,2018-11-29,FALSE,FALSE,TRUE
"5",24,"2018-02",111461502,"International: Other Academic (Visiting or Temporary)","Goethe University Frankfurt","Center for Advanced Studies Foundations of Law and Finance","Law and Economics and Business Administration","Law and Finance
Financial Regulation
Corporate Finance
Corporate Governance
Banking
Asset Pricing","Junior Fellowships","The Center for Advanced Studies <U+201C>Foundations of Law and Finance<U+201D> at Goethe University Frankfurt, Departments of Law and Economics and Business Administration, funded by the German Research Foundation (DFG) offers two Junior Fellowships starting at the earliest possible date. The duration of the fellowship is between six month and one year. The center will investigate how institutional and regulatory parameters influence financial market decisions and outcomes and takes a closer look at the interconnections between legislation, economics and politics in order to evaluate the impact of law on the financial sector.

Candidates need to prove a PhD in Finance or Economics, a law degree is desirable. Successful applicants should conduct research in areas like either law and finance, corporate finance and corporate governance, banking or asset pricing and show potential for publication of their work in leading international journals. Visiting fellows are supposed to participate in the research activities of the Center.

Goethe University is seeking to increase its share of women in research and teaching and particularly welcomes applications from female scholars. Successful candidates will work in a highly attractive academic environment in the House of Finance at Goethe University and an enthusiastic team.",NA,NA,NA,"GERMANY Hesse Frankfurt am Main","G - Financial Economics
K - Law and Economics",2018-11-30,FALSE,"GERMANY","DEU","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461502","",NA,NA,NA,NA,NA,2018-11-30,FALSE,TRUE,TRUE
"6",25,"2018-02",111461474,"International: Other Academic (Visiting or Temporary)","Goethe University Frankfurt","Center for Advanced Studies Foundations of Law and Finance","Law and Economics and Business Administration","Law and Finance
Financial Regulation
Corporate Finance
Corporate Governance
Banking
Asset Pricing
","Woman in Law and Finance Fellowships","The Center for Advanced Studies <U+201C>Foundations of Law and Finance<U+201D> at Goethe University Frankfurt, Departments of Law and Economics and Business Administration, funded by the German Research Foundation (DFG) offers two Women in Law and Finance Fellowships starting at the earliest possible date. The duration of the fellowship is between six month and one year. The center will investigate how institutional and regulatory parameters influence financial market decisions and outcomes and takes a closer look at the interconnections between legislation, economics and politics in order to evaluate the impact of law on the financial sector. 

Candidates need to prove a PhD in Finance or Economics, a law degree is desirable. Successful applicants should conduct research in areas like either law and finance, corporate finance and corporate governance, banking or asset pricing and show potential for publication of their work in leading international journals. Visiting fellows are supposed to participate in the research activities of the Center.

Goethe University is seeking to increase its share of women in research and teaching and particularly welcomes applications from female scholars. Successful candidates will work in a highly attractive academic environment in the House of Finance at Goethe University and an enthusiastic team.",NA,NA,NA,"GERMANY Hesse Frankfurt am Main","G - Financial Economics
K - Law and Economics",2018-11-30,FALSE,"GERMANY","DEU","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461474","",NA,NA,NA,NA,NA,2018-11-30,FALSE,TRUE,TRUE
"7",26,"2018-02",111461527,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Goethe University Frankfurt","Faculty of Economics and Business Administration","Department of Applied Econometrics and International Economic Policy","International Trade
Foreign Direct Investment
Migration and Allocation of Human Capital
Globalization","Professorship (W2, Tenure Track) of International Trade, Development and Growth","The Faculty of Economics and Business Administration at Goethe-University Frankfurt invites applications for the following position starting at the earliest possible date:

Professorship (W2, Tenure Track) <U+201C>International Trade, Development and Growth<U+201D>

The initial tenure track appointment as professor (civil servant or public employee) is for six years (<U+00A7> 64 of the Higher Education Act of the State of Hessen (HHG)). Upon positive evaluation, the incumbent will be promoted to a permanent position at a higher level (W3).

The professorship is assigned to the Department of Applied Econometrics and International Economic Policy.
Applicants should have a record of excellent scientific research projects. A research focus should lie in international trade, foreign direct investment, migration and allocation of human capital or globalization. Connections to development and growth are desirable. We expect excellent teaching performance and sound empirical and theoretical methods. Teaching is expected at the Bachelor, Master, and PhD levels. The ability to teach in English is required. German language skills would be an advantage.

The designated salary for the position is based on the German university pay scale or equivalent. Goethe University is committed to increasing the proportion of female faculty and therefore especially encourages women to apply. Applications of scientists from abroad are explicitly requested. Severely disabled applicants with equal qualification and aptitude will be given preferential consideration. For further information regarding the general conditions for professorship appointments, please see www.vakante-professuren.uni-frankfurt.de.

Researchers with an excellent research and teaching record are cordially invited to send their applications in English, accompanied by the usual documents (CV, record of publications, 3 reference letters, teaching experience and extramural funding, certificates) and citing the reference ""W2 TT International Trade, Development and Growth<U+201C> until 30.11.2018 via e-mail to the Dean of the Faculty of Economics and Business Administration at Goethe-University: applications@wiwi.uni-frankfurt.de.

For further information, please contact Prof. Dr. Alexander Ludwig (Ludwig@safe.uni-frankfurt.de).",NA,NA,NA,"GERMANY Hessen Frankfurt","F - International Economics",2018-11-30,FALSE,"GERMANY","DEU","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461527","applications@wiwi.uni-frankfurt.de",NA,NA,NA,NA,NA,2018-11-30,TRUE,TRUE,FALSE
"8",99,"2018-02",111461630,"US: Other Academic (Visiting or Temporary)","UC San Diego",NA,"Department of Economics","Development Economics
Labor Economics
Health Economics","Postdoctoral Scholar Appointment, Payments and Governance Research Project","The Department of Economics at the University of California, San Diego (UCSD) is pleased to announce a 2-year Postdoctoral appointment with the <U+201C>Payments and Governance Research Project<U+201D>. The successful candidate will work with Professors Karthik Muralidharan, Paul Niehaus, and Sandip Sukhtankar (UVA) to design and initiate new randomized control trials (RCTs) evaluating reforms to the design and delivery of India<U+2019>s subsidy programs leveraging new biometric payments infrastructure to replace commodity subsidies with income transfers. The position offers the opportunity to join a research partnership with a strong track record of high-quality publication and policy impact; an opportunity to co-author papers; and is designed to help the selected candidate launch a successful academic career with a strong research pipeline.

A Ph.D. in Economics, Public Policy or another quantitative social science field with a focus on development, public, or labor economics is required. The candidate should have demonstrated ability to produce high quality research papers. Significant applied econometrics skills are expected. In addition to candidates with a background in field experiments, and program evaluation, we also encourage applications from candidates with strong training in structural modeling and estimation techniques who are interested in embedding experiments in structural models for better out of sample predictions and welfare estimation. We also highly value strong organizational and people management skills. Experience in developing countries and impact evaluation is a plus.

The two-year position will be based at the University of California, San Diego (UCSD). Based on mutual agreement the duration can be as short as 15 months or as long as 3 years. The target start date for the position is summer 2019, with some flexibility on the exact start date.
Offer terms will be competitive and designed to attract candidates considering faculty offers at leading research universities. The successful candidate will be a fully integrated member of the UCSD economics community; with 6-10 weeks/year in India as required.

To Apply: submit a cover letter, CV with list of publications, academic transcripts, job market paper and contact information for three recommendations to lmannino@ucsd.edu.

Applications will be reviewed on a rolling basis, but it is highly recommended that you apply before November 30, 2018 for full consideration. Short-listed applicants will be interviewed at the American Economic Association meetings, and/or over Skype.

The University of California is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, age or protected veteran status.",NA,NA,NA,"UNITED STATES California La Jolla","00 - Default: Any Field",2018-11-30,TRUE,"UNITED STATES","USA","November 30, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461630","lmannino@ucsd.edu","November 30",30,11,"2018-11-30",2018-11-30,2018-11-30,FALSE,TRUE,TRUE
"9",100,"2018-02",111461657,"International: Other Academic (Visiting or Temporary)","Universidad del CEMA",NA,"Department of Economics","Argentina
Economics
Field Experiments
DSGE Models","Post-Doctoral Position","The Department of Economics at Universidad del CEMA (www.ucema.edu.ar) in Buenos Aires, Argentina invites applications for a Post-Doctoral position. Start date is August 2019 at the latest, or earlier on agreement. Applicants from within micro with an interest in field experiments and within macro with an interest in DSGE models will be given priority. 
The term for the position is one year without teaching obligations.
 
To apply, please submit via JOE: a cover letter explaining your interest in the position at Universidad del CEMA, curriculum vitae, one research paper, three letters of recommendation and a statement of current research interest.  Review of applications begins on November 30, 2018. Applications will be received until the positions are filled. Early application is strongly recommended. Questions at joe@ucema.edu.ar

Applicants must have a Ph.D. by the start date of this position, but may be ABD when applying. We will interview candidates at the ASSA meetings in Atlanta (January 4-6, 2019). Selected candidates will be invited for a job talk.",NA,NA,NA,"ARGENTINA Buenos Aires","C9 - Design of Experiments
C6 - Mathematical Methods; Programming Models; Mathematical and Simulation Modeling
00 - Default: Any Field",2019-01-31,FALSE,"ARGENTINA","ARG","November 30, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461657","joe@ucema.edu.ar","November 30",30,11,"2018-11-30",2018-11-30,2018-11-30,FALSE,TRUE,TRUE
"10",101,"2018-02",111461612,"International: Other Academic (Visiting or Temporary)","Universidad del CEMA",NA,"Department of Economics","Argentina
Economics
Econometrics","Visiting Assistant Professor","The Department of Economics at Universidad del CEMA (www.ucema.edu.ar) in Buenos Aires, Argentina invites applications for a two year appointment at the Visiting Assistant Professor level. Start date is August 2019 at the latest, or earlier on agreement. We seek candidates who can teach two Econometric courses, one at the Undergraduate Level and the other at the Graduate Level. 
 
To apply, please submit via JOE: a cover letter explaining your interest in the position at Universidad del CEMA, curriculum vitae, one research paper, material in support of teaching ability, three letters of recommendation and a statement of current research interest.  Review of applications begins on November 30, 2018. Applications will be received until the positions are filled. Early application is strongly recommended. Questions at joe@ucema.edu.ar 

Applicants must have a Ph.D. by the start date of this position, but may be ABD when applying. We will interview candidates at the ASSA meetings in Atlanta (January 4-6, 2019). Selected candidates will be invited for a job talk.",NA,NA,NA,"ARGENTINA Buenos Aires","C1 - Econometric and Statistical Methods and Methodology:  General",2019-01-31,FALSE,"ARGENTINA","ARG","November 30, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461612","joe@ucema.edu.ar","November 30",30,11,"2018-11-30",2018-11-30,2018-11-30,FALSE,TRUE,FALSE
