,jp_id,jp_institution,jp_keywords,url,true_deadline,real_deadline,apply?,res,teach,posdoc,Notes
1,111461700,The Pennsylvania State University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461700,01/11/2018,Open,1,1,,,
2,111461632,"University of California, San Diego",NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461632,01/11/2018,,,,,,
3,111461395,Hanken School of Economics,"tenure track
assistant professor",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461395,09/11/2018,,,,,,
4,111461790,University of Houston,"Macroeconomics
International Macroeconomics
",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461790,12/11/2018,Open,1,1,,,
5,111461605,Stockholm School of Economics,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461605,15/11/2018,,,,,,
6,111461763,Northwestern University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461763,16/11/2018,,,,,,
7,111461626,University of Bristol,macroeconomics finance and behavioural economics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461626,18/11/2018,18/11/2018,1,1,,,
8,111461561,University of Exeter,"Agricultural and Resource Economics
Applied Econometrics
Behavioural Economics
Development Economics
Environmental Economics
Energy Economics
Family Economics
Health Economics
Human Capital
Natural Capital Economics
Spatial Econometrics
Welfare Economics
",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461561,20/11/2018,,,,,,
9,111461701,Bates White Economic Consulting,"Machine Learning
Big data
Econometrics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461701,21/11/2018,,,,,,
10,111461764,Northwestern University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461764,21/11/2018,,,,,,
11,111461682,Johns Hopkins University Carey Business School,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461682,22/11/2018,,,,,,
12,111461552,Lancaster University,Macroeconomics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461552,23/11/2018,23/11/2018,1,1,,*UK *Skype,
13,111461510,Millennium Challenge Corporation,"International Development, Economics, Public Policy",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461510,23/11/2018,,,,,,
14,111461563,Stockholm University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461563,23/11/2018,23/11/2018,1,1,,*Sweden,
15,111461712,University of Texas at Dallas,"Macroeconomics
International Finance
Open Economy Macroeconomics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461712,23/11/2018,23/11/2018,1,1,,,
16,111461194,Australian National University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461194,25/11/2018,25/11/2018,1,1,,,
17,111461651,CUNEF - Colegio Universitario de Estudios Financieros,Finance; Economics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461651,25/11/2018,,,,,,
18,111461569,Norges Bank (Central Bank of Norway),"Macroeconomics, monetary economics, macrofinance",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461569,25/11/2018,,,,,,
