"","X","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline","domestic","country","iso3","otherdate","url","InquiryEmail","otherdate_noyear","otherdate_day","otherdate_month","otherdate_asDate_ready","deadline_other","true_deadline","ft","myfields","positionsToKeep"
"1",89,"2018-02",111461700,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","The Pennsylvania State University","College of The Liberal Arts","Economics",NA,"Assistant Professor of Economics","The Department of Economics at The Pennsylvania State University seeks to fill several untenured, tenure-track junior positions over the next three years. We will consider highly qualified candidates in all fiends of economics. Candidates must demonstrate the capacity for high-quality instruction and the potential for significant research. Review of applications will begin on November 1, 2018 and continue until the positions are filled. To be considered, you must complete a Penn State application (no downloads required) at https://psu.jobs/job/82466 in addition to downloading application materials at https://www.econjobmarket.org/.",NA,NA,NA,"UNITED STATES Pennsylvania University Park","00 - Default: Any Field",2018-12-31,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461700","","November 1",1,11,"2018-11-1",2018-11-01,2018-11-01,TRUE,TRUE,TRUE
"2",110,"2018-02",111461632,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Assistant Professor of Economics/Strategic Management","Assistant Professor of Economics/Strategic Management

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more faculty positions at the Assistant Professor level (tenure-track) in the field of economics. Applicants must have a PhD or be working toward completion of a PhD by the start of the 2019-20 academic year. Preference will be given to applicants with emerging scholarly records, demonstrated teaching experience with graduate students and executives, and experience mentoring doctoral students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, statement of research, statement on diversity, relevant research papers, and list of 3-5 references via our on-line submission web site: http://apptrkr.com/1321589.

The application should include: a detailed curriculum vita, a statement of research with relevant publications, and a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins November 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site at https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Research
<U+2022> Statement of Teaching (Optional)
<U+2022> Statement of Contributions to Diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1321589

Copyright <U+00A9>2017 Jobelephant.com Inc. All rights reserved.

https://www.jobelephant.com/

jeid-ed22e6a11b164d4f8ea840e33d2cd774",NA,"1321589",NA,"UNITED STATES California La Jolla","A - General Economics and Teaching",NA,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461632","","November 1",1,11,"2018-11-1",2018-11-01,2018-11-01,TRUE,TRUE,TRUE
"3",29,"2018-02",111461395,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Hanken School of Economics",NA,"Department of Economics","tenure track
assistant professor","Assistant Professor","The Department of Economics, Hanken School of Economics invites applications for an assistant professor position. We consider candidates in all fields of economics.

The assistant professor position is part of the Hanken tenure track system. It is open to talented individuals who have excellent potential for a scientific career. Individuals placed on the Hanken tenure track have the possibility to advance in their career through regular performance assessments, which take into account their merits in all areas of their scope of duty. For this position we have a special preference for candidates with research interests in both Economics and Finance or in field experimentation with firms and consumers.

The Department is a highly committed research department with full scale graduate and undergraduate programs in collaboration with economics departments of Aalto University and University of Helsinki at the Helsinki GSE. Hanken and Helsinki GSE are conveniently located in the city center of Helsinki. The center hosts several strong research groups in, for example, industrial organization, applied microeconomics, and labor economics. 

Applicants must have a PhD in Economics. Shortlisted candidates will be interviewed at the EEA European Job Market, on December 6-7 2018, in Naples, Italy. Other arrangements are possible for short-listed candidates not planning to attend the meeting. 

Applicants should submit a Cover letter, Curriculum Vitae, List of publications (with the most significant publications highlighted), Teaching portfolio, A research statement describing future research plans (3-4 pages), Names and contact information of four references, Samples of research such as thesis chapters or publications.

For more information and for the application link, please go to
https://hanken.rekrytointi.com/paikat/index.php?jid=93&key=&o=A_RJ&rspvt=p7dcw0lu168sgwckskgoggg88ssckkw

Only applications submitted at the above site by November 9th, 2018 will be considered. The references should be submitted to a separate e-mail address (of which you will be informed in the confirmation of the receipt of the application) no later than November 16th.

Information URLs: 

https://www.hanken.fi/en/about-hanken/organisation/departments-and-subjects/department-economics  
and 
http://www.helsinkigse.fi/

For more information, email: topi.miettinen@hanken.fi   (Head of department)",NA,NA,NA,"FINLAND Helsinki","00 - Default: Any Field",2018-11-09,FALSE,"FINLAND","FIN","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461395","topi.miettinen@hanken.fi",NA,NA,NA,NA,NA,2018-11-09,TRUE,TRUE,TRUE
"4",115,"2018-02",111461790,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Houston","College of Liberal Arts and Social Science","Economics","Macroeconomics
International Macroeconomics
","Assistant Professor","The Department of Economics invites applications for a tenure-track Assistant Professor position effective August 2019.  The Department of Economics at the University of Houston is dedicated to producing top-flight research while training students in the latest techniques in economic analysis. We welcome candidates whose experience in research and teaching has prepared them to contribute to our commitment to excellence and diversity.

Preference will be given to candidates with strong model-oriented and empirical skills.  Candidates must have an expectation of publishing in top journals and an interest in teaching in the graduate macroeconomics or international sequence.  

Applications should include cover letter, curriculum vitae, three reference letters, and one or more research papers.  Candidates are expected to have their Ph.D. by August 2019.

The department will conduct interviews at the January 2019 AEA meetings in Atlanta.  Review of candidates will begin November 12, 2018 and continue until the position is filled. 

The University of Houston is an Equal Opportunity/Affirmative Action institution. Minorities, women, veterans, and persons with disabilities are encouraged to apply.",NA,NA,NA,"UNITED STATES Texas Houston","E - Macroeconomics and Monetary Economics
F4 - Macroeconomic Aspects of International Trade and Finance",2019-02-28,TRUE,"UNITED STATES","USA","November 12, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461790","","November 12",12,11,"2018-11-12",2018-11-12,2018-11-12,TRUE,TRUE,TRUE
"5",82,"2018-02",111461605,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Stockholm School of Economics",NA,"Department of Finance",NA,"Assistant Professor","Faculty Positions in Finance 
 
The Department of Finance at the Stockholm School of Economics (SSE) seeks to fill one or two assistant professor positions, subject to budgetary approval. Appointment will be effective August 2019. The positions are open to candidates with any area of specialization in finance. 

Job Qualifications:

Candidates should have an established record of (or considerable promise for) high-quality research and teaching. Applicants should be close to completion or have completed their Ph.D. in Finance, Economics, or a related field.

About the School:

The Stockholm School of Economics is a private and independent institution located in central Stockholm. It is the premier place for undergraduate, graduate, and executive education in Sweden. With generous grants from the government and the private sector, the Swedish House of Finance supports our research infrastructure, including an active visitors program, a national PhD course program in finance, and a comprehensive data center that supports research in finance.

Current faculty members are Adrien d<U+2019>Avernas, Ramin Baghai, Bo Becker, Magnus Dahlquist, Mariassunta Giannetti, Michael Halling, Jungsuk Han, Alexander Ljungqvist, Vincent Maurin, Daniel Metzger, Olga Obizhaeva, Marcus Opp, Riccardo Sabbatucci, Farzad Saidi, Paolo Sodini, Jan Starmans, Per Str<U+00F6>mberg, Dong Yan, Irina Zviadadze.",NA,NA,NA,"SWEDEN Stockholm","G - Financial Economics",2018-11-15,FALSE,"SWEDEN","SWE","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461605","",NA,NA,NA,NA,NA,2018-11-15,TRUE,TRUE,TRUE
"6",69,"2018-02",111461763,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Northwestern University","Kellogg School of Management","Strategy Department",NA,"Faculty Positions in Strategy","Northwestern University
Kellogg School of Management
Evanston, Illinois

Faculty Positions in Strategy

Applications are invited for faculty positions in the Strategy Department. The Strategy Department consists of applied microeconomists who actively conduct research to enhance our understanding of the performance of firms, markets, organizations, and economies. The search is open to all ranks. We seek individuals who address real-world phenomena with rigorous microeconomic theory and/or empirical methods and who have research interests in industrial organization, public finance, organizational economics, international, the economics of innovation, or related fields. Salary is competitive. Primary criteria will be excellent recommendations, superior teaching capabilities, and outstanding research potential. Candidates must have a Ph.D. in hand or expected by employment start date. Successful applicants will be expected to do innovative research, participate in the school<U+2019>s Ph.D. program, and teach required and elective MBA courses.

Applications should be submitted at https://econjobmarket.org/positions/5201

For full consideration, please submit a curriculum vitae, graduate transcripts, three letters of reference, and copies of publications or work in progress. Departmental representatives will attend the January 4-6, 2019 meetings of the Allied Social Science Associations in Atlanta, GA. Candidates attending, and interviewing at, the conference must submit a curriculum vitae, a research abstract, and any supporting materials no later than November 16, 2018.

Northwestern University is an Equal Opportunity, Affirmative Action Employer of all protected classes including veterans and individuals with disabilities. Women and minority candidates are encouraged to apply. Hiring is contingent upon eligibility to work in the United States.
",NA,"131453",NA,"UNITED STATES Illinois Evanston","A2 - Economic Education and Teaching of Economics
D0 - General
L1 - Market Structure, Firm Strategy, and Market Performance",NA,TRUE,"UNITED STATES","USA","November 16, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461763","","November 16",16,11,"2018-11-16",2018-11-16,2018-11-16,TRUE,TRUE,TRUE
"7",106,"2018-02",111461626,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Bristol",NA,"Economics","macroeconomics finance and behavioural economics","Lecturer in Economics (Assistant Professor)","The Department of Economics at the University of Bristol invites applications from excellent candidates in all fields, but particularly in macro/ finance and behavioral. Applicants should demonstrate the ability to publish in top international journals and teach to the highest standards at undergraduate and masters level. Applicants should have completed, or be close to completing, a PhD in Economics or related discipline by the post start date (1st September 2019).

The closing date for applications is midnight, GMT on Sunday 18th November 2018.

Department members will be available for preliminary interviews at the AEA meetings in Atlanta, the EEA job market in Naples and the RES PhD meetings in London. 

Application Procedure: A complete application will include a CV, Job Market Paper and three letters of recommendation. These must be submitted via the EconJobMarket website. Applicants must also apply via the University of Bristol website (bristol.ac.uk/jobs/ job number ACAD103605/ ACAD103616) This is to ensure compliance with UKVI requirements. 

For informal enquiries please contact Professor Sarah Smith sarah.smith@bristol.ac.uk. 

To apply for this position, log in and choose your Applicant role (or, if you have no account, create one).
Letters of reference required: 3

Location of job: 12 Priory Road, 12 Priory Road, BRISTOL, BS8 1TN, United Kingdom

The recruiter is interviewing applicants at the following conferences:
EEA Job Market Meeting, Naples, Italy, 6<U+2013>7 Dec 2018
RES Postgraduate Meeting, London, UK, 18<U+2013>19 Dec 2018
Allied Social Sciences Association, Atlanta, USA, 4<U+2013>6 Jan 2019",NA,NA,NA,"UNITED KINGDOM","00 - Default: Any Field",2018-11-18,FALSE,"UNITED KINGDOM","GBR","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461626","sarah.smith@bristol.ac.uk",NA,NA,NA,NA,NA,2018-11-18,TRUE,TRUE,TRUE
"8",112,"2018-02",111461561,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Exeter","Business School","Economics","Agricultural and Resource Economics
Applied Econometrics
Behavioural Economics
Development Economics
Environmental Economics
Energy Economics
Family Economics
Health Economics
Human Capital
Natural Capital Economics
Spatial Econometrics
Welfare Economics
","Assistant/Associate/Full Professors","The Department of Economics at the University of Exeter Business School is seeking to fill up to 10 posts at all levels including Full Professor, Associate Professor, Senior Lecturer (Assistant Professor with tenure) and Lecturer (Assistant Professor). This hiring forms part of a continued expansion and investment into Economics at the University of Exeter. 

Preference will be given to researchers in applied economics with strong empirical skills. We are particularly interested in candidates specialising in *any* of the following fields: environmental and resource economics, agricultural economics, development economics, health economics, natural and human capital, and behavioural economics. Methodologically, we especially welcome econometric, reduced-form, semi-structural or fully structural applied approaches as well as advanced programming skills using data that is experimental, quasi-experimental, observational (including administrative, spatial and GIS) data or considered <U+201C>big data<U+201D> (including earth observation/satellite data, network and social media data).

The Department of Economics at the University of Exeter Business School is a research-oriented department devoted to teaching excellence.  We are committed to high quality research with economic and societal impact and research-led, engaging education which helps students attain the highest standards, and realise their potential to make an impact on the world.

Candidates at the rank of Associate or Full Professor must have an outstanding track record in publishing research, teaching and attracting research grants. Candidates at the Assistant Professor level (Lecturer/Senior Lecturer) should have a Ph.D. already in hand or firmly expected by August 2019 and should show promise of significant scholarship, high quality publications and teaching ability.

The University of Exeter Business School offers competitive salaries, benefits and research support. We embrace and promote diversity and offer flexible working hours. 

To learn more about the School, please visit https://business-school.exeter.ac.uk/
Informal enquires should be directed in the first instance to: econsearch@exeter.ac.uk

Applicants for the Lecturer/Senior Lecturer posts must apply online at EconJobMarket.org by 20 November 2018 in order to be considered for first-round interviews at the EEA job market meeting in Naples 6-7 December 2018, at the RES PhD meeting in London 18-19 December 2018 and at the ASSA Meetings in Atlanta, 4-6 January 2019. Please submit a cover letter, a CV, research papers and three letters of reference. Please state in your cover letter and in the econjobmarket webpage which of the above meetings you will be attending and be available for interview.",NA,NA,NA,"UNITED KINGDOM Devon Exeter","00 - Default: Any Field",2018-11-20,FALSE,"UNITED KINGDOM","GBR","20 November 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461561","econsearch@exeter.ac.uk",NA,NA,NA,NA,NA,2018-11-20,TRUE,TRUE,TRUE
"9",5,"2018-02",111461701,"Full-Time Nonacademic","Bates White Economic Consulting",NA,NA,"Machine Learning
Big data
Econometrics","Economist","Bates White, located in Washington, DC, is seeking PhD candidates and experienced PhDs to work closely with senior staff and partners on high-profile engagements. Responsibilities include developing analytical frameworks for big data, designing machine learning tools, and tackling complex empirical problems. We seek candidates who think creatively about economic problems and who enjoy conveying solutions to non-economists.

Bates White specializes in providing advanced economic, financial, and econometric analysis to law firms, companies, and government agencies. We help clients tackle tough issues with confidence and pride ourselves on delivering top-notch consulting and expert testimony. But what makes us successful is our commitment to providing a positive and rewarding experience<U+2014>for our employees, our clients, and the community. 

The firm is recognized by leading academics and professionals as a premier place to work. Bates White has an innovative and entrepreneurial culture where bright minds from diverse backgrounds come together to solve difficult challenges facing legal, business, and government decision makers in the United States and around the world. In addition, the firm maintains strong relationships with key academics and industry experts. We are seeking individuals who specialize in:  industrial organization, applied econometrics, applied microeconomics, financial economics, labor, healthcare, and big data and machine learning. 

Bates White is deeply committed to providing a quality work experience and fostering and maintaining a diverse workforce and an inclusive culture. This is evidenced in the firm<U+2019>s academic focus, career development programs, and employee engagement activities (e.g., women<U+2019>s network, community initiatives, and diversity-inclusion programs). Furthermore, Bates White rewards employees with highly competitive compensation and benefit programs. 
",NA,NA,NA,"UNITED STATES District of Columbia Washington","C1 - Econometric and Statistical Methods and Methodology:  General
C0 - General
C5 - Econometric Modeling",2018-11-21,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461701","",NA,NA,NA,NA,NA,2018-11-21,TRUE,TRUE,TRUE
"10",68,"2018-02",111461764,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Northwestern University","Kellogg School of Management","Managerial Economics and Decision Sciences Department",NA,"Faculty Positions in Managerial Economics and Decision Sciences","Northwestern University
Kellogg School of Management
Evanston, Illinois
Faculty Positions in Managerial Economics and Decision Sciences

Applications are invited for faculty positions in the Managerial Economics and Decision Sciences Department. The search is open to all ranks. The MEDS Department includes faculty in pure and applied microeconomic theory, game theory, development economics, and political economy. We invite applicants in economics and political science, or related fields. Salary is competitive. Primary criteria will be excellent recommendations, outstanding research potential, and superior teaching capabilities. Candidate must have a Ph.D. in hand or expected by employment start date. Successful applicants will be expected to do innovative research, participate in the school<U+2019>s Ph.D. program, and teach required and elective MBA courses. Applicants should have strong theoretical and quantitative interests and abilities.

Applications should be submitted at https://econjobmarket.org/positions/5238

For full consideration, please submit a curriculum vitae, three letters of reference, and copies of publications or work in progress no later than November 21, 2018. Departmental representatives will attend the annual meeting of the Allied Social Sciences Associations in Atlanta, GA, January 4-6, 2019.

Northwestern University is an Equal Opportunity, Affirmative Action Employer of all protected classes including veterans and individuals with disabilities. Women and minority candidates are encouraged to apply. Hiring is contingent upon eligibility to work in the United States.
",NA,"131454",NA,"UNITED STATES Illinois Evanston","A2 - Economic Education and Teaching of Economics
D0 - General
C7 - Game Theory and Bargaining Theory",NA,TRUE,"UNITED STATES","USA","November 21, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461764","","November 21",21,11,"2018-11-21",2018-11-21,2018-11-21,TRUE,TRUE,TRUE
