"","X","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline","domestic","country","iso3","otherdate","url","InquiryEmail","otherdate_noyear","otherdate_day","otherdate_month","otherdate_asDate_ready","deadline_other","true_deadline","ft","myfields","positionsToKeep"
"1",113,"2018-02",111461718,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Associate or Full Professor of Finance","Associate or Full Professor of Finance

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more senior faculty positions (tenured) in the field of finance. Applicants must have a PhD. Preference will be given to applicants with evidence of a strong research record in their specialization, demonstrated teaching experience with graduate students and executives, and experience mentoring PhD students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership, and a list of 3-5 references via our on-line submission web site: http://apptrkr.com/1325385. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins October 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site at https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Contributions to diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Statement of Research (Optional)
<U+2022> Statement of Teaching (Optional)
<U+2022> Teaching Evaluations (Optional)
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1325385

Copyright <U+00A9>2017 Jobelephant.com Inc. All rights reserved.

https://www.jobelephant.com/

jeid-086c233703db3a48b685071e4ed8c988",NA,"1325385",NA,"UNITED STATES California La Jolla","G - Financial Economics",NA,TRUE,"UNITED STATES","USA","October 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461718","","October 1",1,10,"2018-10-1",2018-10-01,2018-10-01,TRUE,TRUE,TRUE
"2",94,"2018-02",111461700,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","The Pennsylvania State University","College of The Liberal Arts","Economics",NA,"Assistant Professor of Economics","The Department of Economics at The Pennsylvania State University seeks to fill several untenured, tenure-track junior positions over the next three years. We will consider highly qualified candidates in all fiends of economics. Candidates must demonstrate the capacity for high-quality instruction and the potential for significant research. Review of applications will begin on November 1, 2018 and continue until the positions are filled. To be considered, you must complete a Penn State application (no downloads required) at https://psu.jobs/job/82466 in addition to downloading application materials at https://www.econjobmarket.org/.",NA,NA,NA,"UNITED STATES Pennsylvania University Park","00 - Default: Any Field",2018-12-31,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461700","","November 1",1,11,"2018-11-1",2018-11-01,2018-11-01,TRUE,TRUE,TRUE
"3",110,"2018-02",111461716,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Assistant Professor of Accounting","Assistant Professor of Accounting

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more faculty positions at the Assistant Professor level (tenure-track) in the field of accounting. Applicants must have a PhD or be working toward completion of a PhD by the start of the 2019-20 academic year. Preference will be given to applicants with emerging scholarly records, demonstrated teaching experience with graduate students and executives, and experience mentoring doctoral students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, statement of research, statement on diversity, relevant research papers, and list of 3-5 references via our on-line submission web site: http://apptrkr.com/1325347.

The application should include: a detailed curriculum vita, a statement of research with relevant publications, and a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins November 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site: https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Research
<U+2022> Statement of Teaching (Optional)
<U+2022> Statement of Contributions to diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1325347",NA,"1325347",NA,"UNITED STATES California La Jolla","M4 - Accounting and Auditing",NA,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461716","","November 1",1,11,"2018-11-1",2018-11-01,2018-11-01,TRUE,TRUE,TRUE
"4",111,"2018-02",111461719,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Assistant Professor of Finance","Assistant Professor of Finance

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more faculty positions at the Assistant Professor level (tenure-track) in the field of finance. Applicants must have a PhD or be working toward completion of a PhD by the start of the 2019-20 academic year. Preference will be given to applicants with emerging scholarly records, demonstrated teaching experience with graduate students and executives, and experience mentoring doctoral students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, statement of research, statement on diversity, relevant research papers, and list of 3-5 references via our on-line submission web site: http://apptrkr.com/1325423.

The application should include: a detailed curriculum vita, a statement of research with relevant publications, and a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins November 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site at https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Research
<U+2022> Statement of Teaching (Optional)
<U+2022> Statement of Contributions to Diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1325423
",NA,"1325423",NA,"UNITED STATES California La Jolla","G - Financial Economics",NA,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461719","","November 1",1,11,"2018-11-1",2018-11-01,2018-11-01,TRUE,TRUE,TRUE
"5",112,"2018-02",111461717,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Associate or Full Professor of Accounting","Associate or Full Professor of Accounting

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more senior faculty positions (tenured) in the field of accounting. Applicants must have a PhD. Preference will be given to applicants with evidence of a strong research record in their specialization, demonstrated teaching experience with graduate students and executives, and experience mentoring PhD students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership, and a list of 3-5 references via our on-line submission web site: http://apptrkr.com/1325355. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins November 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site at https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Contributions to diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Statement of Research (Optional)
<U+2022> Statement of Teaching (Optional)
<U+2022> Teaching Evaluations (Optional)
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1325355

Copyright <U+00A9>2017 Jobelephant.com Inc. All rights reserved.

https://www.jobelephant.com/

jeid-9ea6cccb4aa2b6428ca7c5918d78d718",NA,"1325355",NA,"UNITED STATES California La Jolla","M4 - Accounting and Auditing",NA,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461717","","November 1",1,11,"2018-11-1",2018-11-01,2018-11-01,TRUE,TRUE,TRUE
"6",118,"2018-02",111461790,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Houston","College of Liberal Arts and Social Science","Economics","Macroeconomics
International Macroeconomics
","Assistant Professor","The Department of Economics invites applications for a tenure-track Assistant Professor position effective August 2019.  The Department of Economics at the University of Houston is dedicated to producing top-flight research while training students in the latest techniques in economic analysis. We welcome candidates whose experience in research and teaching has prepared them to contribute to our commitment to excellence and diversity.

Preference will be given to candidates with strong model-oriented and empirical skills.  Candidates must have an expectation of publishing in top journals and an interest in teaching in the graduate macroeconomics or international sequence.  

Applications should include cover letter, curriculum vitae, three reference letters, and one or more research papers.  Candidates are expected to have their Ph.D. by August 2019.

The department will conduct interviews at the January 2019 AEA meetings in Atlanta.  Review of candidates will begin November 12, 2018 and continue until the position is filled. 

The University of Houston is an Equal Opportunity/Affirmative Action institution. Minorities, women, veterans, and persons with disabilities are encouraged to apply.",NA,NA,NA,"UNITED STATES Texas Houston","E - Macroeconomics and Monetary Economics
F4 - Macroeconomic Aspects of International Trade and Finance",2019-02-28,TRUE,"UNITED STATES","USA","November 12, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461790","","November 12",12,11,"2018-11-12",2018-11-12,2018-11-12,TRUE,TRUE,TRUE
"7",10,"2018-02",111461850,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","California Institute of Technology","Division of the Humanities and Social Sciences",NA,"Experimental economics
Economic history","Assistant Professor of Economics","The Division of the Humanities and Social Sciences at the California Institute of Technology (Caltech) invites applications for a tenure-track position in economics at the assistant professor level. Exceptionally well-qualified applicants at higher levels may also be considered. Our search is focused in the areas of experimental economics and economic history, although applicants in other areas will also be considered.   We are seeking highly qualified candidates who are committed to a career in research and teaching.  The term of an initial untenured appointment is four years, and the appointment is contingent upon completion of the Ph.D.

Interested candidates should apply electronically: https://applications.caltech.edu/job/econ
Candidates unable to apply electronically may send a letter of application describing their current research, a teaching statement, three letters of recommendation, current CV, and a sample of original written work to: Chair, Economics Search, HSS 228-77 Caltech, Pasadena, CA 91125.

Application review will begin November 20, 2018 and applications will be accepted until the position is filled.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin, disability status, protected veteran status, or any other characteristic protected by law.
",NA,"Econ2018-19",NA,"UNITED STATES California Pasadena","A - General Economics and Teaching",NA,TRUE,"UNITED STATES","USA","November 20, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461850","","November 20",20,11,"2018-11-20",2018-11-20,2018-11-20,TRUE,TRUE,TRUE
"8",63,"2018-02",111461826,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","NHH, Norwegian School of Economics",NA,"Department of Economics",NA,"3 Tenure Track Positions","The Norwegian School of Economics (NHH) is one of the leading business schools in Europe. NHH has an internationally recognised research environment and is the first choice for students who want to study business administration in Norway. 

In close cooperation with the business community and society, we are developing new knowledge and creating values for a sustainable future. NHH has an international profile and cooperates with 170 universities and business schools in more than 50 countries. We have 3,400 students and 400 employees.

NHH, the Department of Economics in Bergen, Norway, invites applicants for 3 tenure-track Assistant Professor/Associate Professor positions for 7 years.

Application due date is 20th of November 2018.

Please apply through the Econ Job Market portal.

Assistant/Associate Professor (tenure-track) in Behavioural Economics: https://econjobmarket.org/positions/5352
Assistant/Associate Professor (tenure-track) in Industrial Organization Economic: https://econjobmarket.org/positions/5353
Assistant/Associate Professor (tenure-track) in Macroeconomics: https://econjobmarket.org/positions/5354

We offer:
 - Competitive terms depending on level of competence/length of service
 - Academically stimulating working environment
 - Membership in the Norwegian Public Service Pension Fund
 - Good pension and welfare benefits (e.g. parental leave)","Competative terms",NA,NA,"NORWAY Bergen","00 - Default: Any Field",2018-11-20,FALSE,"NORWAY","NOR","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461826","",NA,NA,NA,NA,NA,2018-11-20,TRUE,TRUE,TRUE
"9",6,"2018-02",111461701,"Full-Time Nonacademic","Bates White Economic Consulting",NA,NA,"Machine Learning
Big data
Econometrics","Economist","Bates White, located in Washington, DC, is seeking PhD candidates and experienced PhDs to work closely with senior staff and partners on high-profile engagements. Responsibilities include developing analytical frameworks for big data, designing machine learning tools, and tackling complex empirical problems. We seek candidates who think creatively about economic problems and who enjoy conveying solutions to non-economists.

Bates White specializes in providing advanced economic, financial, and econometric analysis to law firms, companies, and government agencies. We help clients tackle tough issues with confidence and pride ourselves on delivering top-notch consulting and expert testimony. But what makes us successful is our commitment to providing a positive and rewarding experience<U+2014>for our employees, our clients, and the community. 

The firm is recognized by leading academics and professionals as a premier place to work. Bates White has an innovative and entrepreneurial culture where bright minds from diverse backgrounds come together to solve difficult challenges facing legal, business, and government decision makers in the United States and around the world. In addition, the firm maintains strong relationships with key academics and industry experts. We are seeking individuals who specialize in:  industrial organization, applied econometrics, applied microeconomics, financial economics, labor, healthcare, and big data and machine learning. 

Bates White is deeply committed to providing a quality work experience and fostering and maintaining a diverse workforce and an inclusive culture. This is evidenced in the firm<U+2019>s academic focus, career development programs, and employee engagement activities (e.g., women<U+2019>s network, community initiatives, and diversity-inclusion programs). Furthermore, Bates White rewards employees with highly competitive compensation and benefit programs. 
",NA,NA,NA,"UNITED STATES District of Columbia Washington","C1 - Econometric and Statistical Methods and Methodology:  General
C0 - General
C5 - Econometric Modeling",2018-11-21,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461701","",NA,NA,NA,NA,NA,2018-11-21,TRUE,TRUE,TRUE
"10",127,"2018-02",111461848,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Ottawa",NA,"Economics",NA,"Assistant Professor","The Department of Economics at the University of Ottawa is seeking to fill one tenure-track position at the rank of Assistant Professor, commencing July 1, 2019, and subject to budgetary approval. We are looking for highly qualified candidates working in the area of applied economics.

The Department offers its programs in French and in English; candidates must be bilingual or willing to become bilingual. 

The application package should include: 
<U+2022> Cover letter
<U+2022> Curriculum vitae 
<U+2022> Job market paper
<U+2022> Three letters of recommendation

Candidates are requested to upload their applications via the Econ Job Market network at https://econjobmarket.org/. The review of applications will start by November 23, 2018, and continue until the position is filled.

The search committee will attend the CEEE in Toronto in December 2018 and the ASSA meetings in Atlanta in January 2019.

All qualified candidates are encouraged to apply; however, Canadians and permanent residents will be given priority. The University of Ottawa is an equal opportunity employer and is committed to employment equity and diversity in the workplace. Women, Aboriginal peoples, persons with disabilities and members of visible minorities are strongly encouraged to apply.",NA,NA,NA,"CANADA Ontario Ottawa","00 - Default: Any Field",NA,FALSE,"CANADA","CAN","November 23, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461848","","November 23",23,11,"2018-11-23",2018-11-23,2018-11-23,TRUE,TRUE,TRUE
