,jp_id,jp_institution,jp_keywords,url,true_deadline,res,cbank,teach,posdoc,Notes
49,111461829,American Society of Interior Designers,"market research, economic trends, business",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461829,NA,,,,,
50,111461847,Carleton College,"media
AI
technology",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461847,NA,,,,,
51,111461734,Carleton College,Quantitative,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461734,NA,,,,,
52,111461783,EY,"Transfer Pricing 
International Tax 
State & Local Tax 
Operating Model Effectiveness
Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461783,NA,,,,,
53,111461912,Federal Reserve Bank of Atlanta,"payment systems
fintech
digital currencies
market structure
financial market access

E41 - Demand for Money
E42 - Monetary Systems <U+2022> Standards <U+2022> Regimes <U+2022> Government and the Monetary System <U+2022> Payment Systems",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461912,NA,,,,,
54,111460392,Federal Reserve Bank of Atlanta,"firm dynamics
firm productivity
innovation
surveys
business organization

C81 - Methodology for Collecting, Estimating, and Organizing Microeconomic Data <U+2022> Data Access
C82 - Methodology for Collecting, Estimating, and Organizing Macroeconomic Data <U+2022> Data Access
D14 - Household Saving <U+2022> Personal Finance
D81 - Criteria for Decision-Making under Risk and Uncertainty
D83 - Search <U+2022> Learning <U+2022> Information and Knowledge <U+2022> Communication <U+2022> Belief <U+2022> Unawareness
D84 - Expectations <U+2022> Speculations
G32 - Financing Policy <U+2022> Financial Risk and Risk Management <U+2022> Capital and Ownership Structure <U+2022> Value of Firms <U+2022> Goodwill
J22 - Time Allocation and Labor Supply
J24 - Human Capital <U+2022> Skills <U+2022> Occupational Choice <U+2022> Labor Productivity
L11 - Production, Pricing, and Market Structure <U+2022> Size Distribution of Firms
L14 - Transactional Relationships <U+2022> Contracts and Reputation <U+2022> Networks
L22 - Firm Organization and Market Structure
O32 - Management of Technological Innovation and R&D
O33 - Technological Change: Choices and Consequences <U+2022> Diffusion Processes
O47 - Empirical Studies of Economic Growth <U+2022> Aggregate Productivity <U+2022> Cross-Country Output Convergence",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460392,NA,,,,,
55,111461697,Ford Motor Company,"Applied Microeconomics
Quantitative Finance
Applied Econometrics
Automotive
Data Science",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461697,NA,,,,,
56,111461715,Freddie Mac,Quantitative Analytics Senior,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461715,NA,,,,,
57,111461710,Massachusetts Institute of Technology,Randomized Evaluations; International; Development,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461710,NA,,,,,
58,111461788,Massachusetts Institute of Technology (MIT),Tenure-Track Faculty Positions,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461788,NA,,,,,
59,111461811,Office of Financial Research,"macroeconomics
financial markets
financial institutions
market microstructure
financial stability
bank regulation
financial networks",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461811,NA,,,,,
60,111461744,Pandora Media Inc.,"Music
Streaming Media
Pandora
Technology 
Advertising 
Economist 
PhDs
Python
Familiarity",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461744,NA,,,,,
61,111461809,Seton Hall University,"Macroeconomics
Open Fields",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461809,NA,1,,,,???
62,111461860,The Brookings Institution,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461860,NA,,,,,
63,111461863,The Brookings Institution,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461863,NA,,,,,
64,111461794,"University of California, Los Angeles",NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461794,NA,1,,,,
65,111461696,University of North Carolina Wilmington,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461696,NA,1,,,,
66,111461703,University of Pennsylvania,"Public Policy Economics
OLG Model
Macroeconomics
Microsimulation",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461703,NA,,,,,
67,111461758,University of South Carolina Upstate,"Business
Analytics
Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461758,NA,,,,,
68,111461757,University of South Carolina Upstate,"Business
Economics
Statistics
Analytics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461757,NA,,,,,
48,111461841,New York University Arts and Science,"teach introductory economics courses,  elective courses, applied microeconomics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461841,15/02/2019,,,,,
47,111461806,New Jersey Institute of Technology (NJIT),NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461806,06/02/2019,,,,,
41,111461818,Airbnb,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461818,31/01/2019,,,,,
42,111461810,"Competition Dynamics, Inc.","Industrial Organization
Technological Change
International Trade
Antitrust
Intellectual Property
Expert Reports
Data Analysis",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461810,31/01/2019,,,,,
43,111461770,Ecole polytechnique f<U+00E9>d<U+00E9>rale de Lausanne (EPFL),Faculty Position Business Analytics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461770,31/01/2019,,,,,
44,111461725,Integra FEC,"Blockchain
Cryptocurrency
Bitcoin
Tether
Healthcare Economics
Financial Economics
Structured Finance
Credit Ratings
Forensic Finance
Empirical
Econometrics
Machine Learning",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461725,31/01/2019,,,,,
45,111461714,Marietta College,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461714,31/01/2019,,,,,
46,111461915,Stephen F. Austin State University,"Microeconomics
Statistics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461915,31/01/2019,,,,,
