"","X.1","X","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline","domestic","country","iso3","otherdate","url","InquiryEmail","otherdate_noyear","otherdate_day","otherdate_month","otherdate_asDate_ready","deadline_other","true_deadline","ft","myfields","positionsToKeep","new_listing"
"1",1,113,"2018-02",111461718,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Associate or Full Professor of Finance","Associate or Full Professor of Finance

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more senior faculty positions (tenured) in the field of finance. Applicants must have a PhD. Preference will be given to applicants with evidence of a strong research record in their specialization, demonstrated teaching experience with graduate students and executives, and experience mentoring PhD students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership, and a list of 3-5 references via our on-line submission web site: http://apptrkr.com/1325385. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins October 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site at https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Contributions to diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Statement of Research (Optional)
<U+2022> Statement of Teaching (Optional)
<U+2022> Teaching Evaluations (Optional)
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1325385

Copyright <U+00A9>2017 Jobelephant.com Inc. All rights reserved.

https://www.jobelephant.com/

jeid-086c233703db3a48b685071e4ed8c988",NA,"1325385",NA,"UNITED STATES California La Jolla","G - Financial Economics",NA,TRUE,"UNITED STATES","USA","October 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461718","","October 1",1,10,"2018-10-1","2018-10-01","2018-10-01",TRUE,TRUE,TRUE,TRUE
"2",3,110,"2018-02",111461716,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Assistant Professor of Accounting","Assistant Professor of Accounting

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more faculty positions at the Assistant Professor level (tenure-track) in the field of accounting. Applicants must have a PhD or be working toward completion of a PhD by the start of the 2019-20 academic year. Preference will be given to applicants with emerging scholarly records, demonstrated teaching experience with graduate students and executives, and experience mentoring doctoral students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, statement of research, statement on diversity, relevant research papers, and list of 3-5 references via our on-line submission web site: http://apptrkr.com/1325347.

The application should include: a detailed curriculum vita, a statement of research with relevant publications, and a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins November 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site: https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Research
<U+2022> Statement of Teaching (Optional)
<U+2022> Statement of Contributions to diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1325347",NA,"1325347",NA,"UNITED STATES California La Jolla","M4 - Accounting and Auditing",NA,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461716","","November 1",1,11,"2018-11-1","2018-11-01","2018-11-01",TRUE,TRUE,TRUE,TRUE
"3",4,111,"2018-02",111461719,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Assistant Professor of Finance","Assistant Professor of Finance

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more faculty positions at the Assistant Professor level (tenure-track) in the field of finance. Applicants must have a PhD or be working toward completion of a PhD by the start of the 2019-20 academic year. Preference will be given to applicants with emerging scholarly records, demonstrated teaching experience with graduate students and executives, and experience mentoring doctoral students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, statement of research, statement on diversity, relevant research papers, and list of 3-5 references via our on-line submission web site: http://apptrkr.com/1325423.

The application should include: a detailed curriculum vita, a statement of research with relevant publications, and a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins November 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site at https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Research
<U+2022> Statement of Teaching (Optional)
<U+2022> Statement of Contributions to Diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1325423
",NA,"1325423",NA,"UNITED STATES California La Jolla","G - Financial Economics",NA,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461719","","November 1",1,11,"2018-11-1","2018-11-01","2018-11-01",TRUE,TRUE,TRUE,TRUE
"4",5,112,"2018-02",111461717,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of California, San Diego","Rady School of Management",NA,NA,"Associate or Full Professor of Accounting","Associate or Full Professor of Accounting

University of California, San Diego

The Rady School of Management (http://rady.ucsd.edu/) at UC San Diego is committed to academic excellence and diversity within the faculty, staff, and student body. The Rady School invites applications for one or more senior faculty positions (tenured) in the field of accounting. Applicants must have a PhD. Preference will be given to applicants with evidence of a strong research record in their specialization, demonstrated teaching experience with graduate students and executives, and experience mentoring PhD students. The Rady School seeks candidates whose research, teaching, and/or service has prepared them to contribute to our commitment to diversity and inclusion in higher education.

Salary and appointment level are dependent on experience and based on University of California pay scales. The position is expected to have a start date of July 1, 2019.

Applicants are asked to submit a detailed vita, a diversity statement summarizing their contribution, or potential for contribution, to diversity and leadership, and a list of 3-5 references via our on-line submission web site: http://apptrkr.com/1325355. The diversity statement should summarize past experience in activities that promote diversity and inclusion and/or plans to make future contributions. Further information about the required diversity statement can be found at http://facultyexcellence.ucsd.edu/c2d/index.html.

Review of applications begins November 1, 2018 and continues until the position is filled. For applicants interested in spousal/partner employment, please visit the UCSD Partner Opportunities Program web site at https://aps.ucsd.edu/services/pop/index.html. UCSD is an affirmative action/equal opportunity employer with a strong institutional commitment to excellence through diversity (http://diversity.ucsd.edu/).

Job location
San Diego, CA

Requirements
Document requirements

<U+2022> Cover Letter (Optional)
<U+2022> Curriculum Vitae - Your most recently updated C.V.
<U+2022> Statement of Contributions to diversity - Applicants should summarize their past or potential contributions to diversity. See our http://facultydiversity.ucsd.edu/recruitment/contributions-to-diversity.html site for more information.
<U+2022> Statement of Research (Optional)
<U+2022> Statement of Teaching (Optional)
<U+2022> Teaching Evaluations (Optional)
<U+2022> Paper #1 (Optional)
<U+2022> Paper #2 (Optional)
<U+2022> Paper #3 (Optional)
<U+2022> Misc / Additional (Optional)

Reference requirements

<U+2022> 3-5 required (contact information only)

How to apply

<U+2022> Create an ApplicantID
<U+2022> Provide required information and documents
<U+2022> If any, provide required reference information

To apply, please visit: http://apptrkr.com/1325355

Copyright <U+00A9>2017 Jobelephant.com Inc. All rights reserved.

https://www.jobelephant.com/

jeid-9ea6cccb4aa2b6428ca7c5918d78d718",NA,"1325355",NA,"UNITED STATES California La Jolla","M4 - Accounting and Auditing",NA,TRUE,"UNITED STATES","USA","November 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461717","","November 1",1,11,"2018-11-1","2018-11-01","2018-11-01",TRUE,TRUE,TRUE,TRUE
"5",7,10,"2018-02",111461850,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","California Institute of Technology","Division of the Humanities and Social Sciences",NA,"Experimental economics
Economic history","Assistant Professor of Economics","The Division of the Humanities and Social Sciences at the California Institute of Technology (Caltech) invites applications for a tenure-track position in economics at the assistant professor level. Exceptionally well-qualified applicants at higher levels may also be considered. Our search is focused in the areas of experimental economics and economic history, although applicants in other areas will also be considered.   We are seeking highly qualified candidates who are committed to a career in research and teaching.  The term of an initial untenured appointment is four years, and the appointment is contingent upon completion of the Ph.D.

Interested candidates should apply electronically: https://applications.caltech.edu/job/econ
Candidates unable to apply electronically may send a letter of application describing their current research, a teaching statement, three letters of recommendation, current CV, and a sample of original written work to: Chair, Economics Search, HSS 228-77 Caltech, Pasadena, CA 91125.

Application review will begin November 20, 2018 and applications will be accepted until the position is filled.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin, disability status, protected veteran status, or any other characteristic protected by law.
",NA,"Econ2018-19",NA,"UNITED STATES California Pasadena","A - General Economics and Teaching",NA,TRUE,"UNITED STATES","USA","November 20, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461850","","November 20",20,11,"2018-11-20","2018-11-20","2018-11-20",TRUE,TRUE,TRUE,TRUE
"6",8,63,"2018-02",111461826,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","NHH, Norwegian School of Economics",NA,"Department of Economics",NA,"3 Tenure Track Positions","The Norwegian School of Economics (NHH) is one of the leading business schools in Europe. NHH has an internationally recognised research environment and is the first choice for students who want to study business administration in Norway. 

In close cooperation with the business community and society, we are developing new knowledge and creating values for a sustainable future. NHH has an international profile and cooperates with 170 universities and business schools in more than 50 countries. We have 3,400 students and 400 employees.

NHH, the Department of Economics in Bergen, Norway, invites applicants for 3 tenure-track Assistant Professor/Associate Professor positions for 7 years.

Application due date is 20th of November 2018.

Please apply through the Econ Job Market portal.

Assistant/Associate Professor (tenure-track) in Behavioural Economics: https://econjobmarket.org/positions/5352
Assistant/Associate Professor (tenure-track) in Industrial Organization Economic: https://econjobmarket.org/positions/5353
Assistant/Associate Professor (tenure-track) in Macroeconomics: https://econjobmarket.org/positions/5354

We offer:
 - Competitive terms depending on level of competence/length of service
 - Academically stimulating working environment
 - Membership in the Norwegian Public Service Pension Fund
 - Good pension and welfare benefits (e.g. parental leave)","Competative terms",NA,NA,"NORWAY Bergen","00 - Default: Any Field","2018-11-20",FALSE,"NORWAY","NOR","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461826","",NA,NA,NA,NA,NA,"2018-11-20",TRUE,TRUE,TRUE,TRUE
"7",10,127,"2018-02",111461848,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Ottawa",NA,"Economics",NA,"Assistant Professor","The Department of Economics at the University of Ottawa is seeking to fill one tenure-track position at the rank of Assistant Professor, commencing July 1, 2019, and subject to budgetary approval. We are looking for highly qualified candidates working in the area of applied economics.

The Department offers its programs in French and in English; candidates must be bilingual or willing to become bilingual. 

The application package should include: 
<U+2022> Cover letter
<U+2022> Curriculum vitae 
<U+2022> Job market paper
<U+2022> Three letters of recommendation

Candidates are requested to upload their applications via the Econ Job Market network at https://econjobmarket.org/. The review of applications will start by November 23, 2018, and continue until the position is filled.

The search committee will attend the CEEE in Toronto in December 2018 and the ASSA meetings in Atlanta in January 2019.

All qualified candidates are encouraged to apply; however, Canadians and permanent residents will be given priority. The University of Ottawa is an equal opportunity employer and is committed to employment equity and diversity in the workplace. Women, Aboriginal peoples, persons with disabilities and members of visible minorities are strongly encouraged to apply.",NA,NA,NA,"CANADA Ontario Ottawa","00 - Default: Any Field",NA,FALSE,"CANADA","CAN","November 23, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461848","","November 23",23,11,"2018-11-23","2018-11-23","2018-11-23",TRUE,TRUE,TRUE,TRUE
"8",11,133,"2018-02",111461844,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Southern California","Gordon S. Marshall School of Business","Department of Finance and Business Economics","Economics, Macroeconomics, Microeconomics, Applied Economics, Macro, Micro, Finance, USC, Business School, Trojans, Marshall, Marshall School, Marshall School of Business, Southern California, So Cal, SoCal, So Calif, Real Estate","Professor of Finance and Business Economics","The USC FBE Department invites applications for full-time tenure-track faculty positions in all areas of Finance and Economics.  Appointments begin Fall semester, 2019.

Preferred qualifications: doctoral degree or foreign equivalent in an appropriate area of study. PhD Candidates nearing degree completion may be considered. Relevant teaching experience and/or evidence of research competence preferred.

The FBE faculty are a collaborative and inclusive group of scholars who value diverse pedagogical, curricular, and methodological approaches.  More info: fbe@marshall.usc.edu or http://www.marshall.usc.edu/fbe

USC is an equal opportunity, affirmative action employer, proudly pluralistic and firmly committed to providing equal opportunity for outstanding persons of every race, gender, creed and background. USC is building a diverse faculty that embraces a range of disciplinary traditions. The University will consider all candidates for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other characteristic protected by law or USC policy. USC will make reasonable accommodations for qualified individuals with known disabilities unless doing so would result in an undue hardship. USC will consider for employment all qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring ordinance.","Competitive salary and benefits offered.",NA,NA,"UNITED STATES California Los Angeles","D - Microeconomics
E - Macroeconomics and Monetary Economics
G - Financial Economics","2018-11-26",TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461844","fbe@marshall.usc.edu",NA,NA,NA,NA,NA,"2018-11-26",TRUE,TRUE,TRUE,TRUE
"9",12,13,"2018-02",111461862,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Carnegie Mellon University","Tepper School of Business",NA,"Assistant or Associate Professor level in Economics","Economics Faculty Tenure-Track Position","Tenure-track faculty opening at the Assistant or Associate Professor level in Economics, commencing September 1, 2019 at Carnegie Mellon University, Tepper School of Business (www.tepper.cmu.edu). Applicants at the Assistant level should have completed or be nearing completion of a Ph.D. degree in Economics and should have potential for excellence in research and teaching in economics. Applicants at the Associate level should have a Ph.D. degree in Economics and an outstanding record of excellence in research and teaching in economics. Candidates from all fields of economics will be given consideration. Teaching assignments encompass undergraduate, MBA, and Ph.D. programs. Interested individuals must submit a cover letter, current curriculum vita, evidence of research (such as publications, working papers, or dissertation proposal), and three recommendation letters via Interfolio (https://apply.interfolio.com/57683). 
 
If you have any questions, please contact the Administrative Coordinator, Rosanne Christy, at ecogroup@andrew.cmu.edu or 412-268-1320.

In order to ensure full consideration, completed applications must be received by November 30, 2018.

Carnegie Mellon University considers applicants for employment without regard to, and does not discriminate on the basis of, gender, race, protected veteran status, disability, or any other legally protected status.
",NA,NA,NA,"UNITED STATES Pennsylvania Pittsburgh, PA","00 - Default: Any Field","2018-11-30",TRUE,"UNITED STATES","USA","November 30, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461862","ecogroup@andrew.cmu.edu","November 30",30,11,"2018-11-30","2018-11-30","2018-11-30",TRUE,TRUE,TRUE,TRUE
"10",13,7,"2018-02",111461741,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Bloomsburg University of Pennsylvania",NA,"Economics",NA,"Assistant Professor - Economics","The Department of Economics at Bloomsburg University of Pennsylvania invites applications for a full-time tenure-track position at the rank of assistant professor (AA# 40-7-526). The appointment will begin in Fall 2019. The department is particularly interested in candidates with a demonstrated teaching/research interest in Industrial Organization. 

Qualified candidates with a Ph.D. in Economics are preferred. Candidates expecting to complete their Ph.D. by August 16, 2019 will also be considered. The successful candidate is expected to pursue scholarly research leading to publications in peer-reviewed journals; increase the visibility of the economics programs; serve on department, college, and university-level committees; advise students; and participate in curriculum review and enhancement activities. Preference will be given to qualified candidates who have demonstrated the ability to work with diverse populations, excellence in teaching as evidenced by peer and student evaluations, and the potential for continued scholarly growth.  

To apply, please visit http://agency.governmentjobs.com/bloomuedu/default.cfm. Applicants must include a cover letter, curriculum vitae, job market paper, copies of graduate transcript(s), and relevant teaching statements and/or evaluations. Three letters of reference should be sent directly to the Chair of the search committee at econsearch@bloomu.edu. EEO Employer",NA,NA,NA,"UNITED STATES Pennsylvania Bloomsburg","A - General Economics and Teaching","2018-12-01",TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461741","econsearch@bloomu.edu",NA,NA,NA,NA,NA,"2018-12-01",TRUE,TRUE,TRUE,TRUE
