"","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline"
"1","2018-02",111461620,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Southwestern University of Finance and Economics","School of Insurance","Multiple Departments",NA,"Assistant, Associate, and Full Professor Positions","Position Available: Assistant, Associate, or Full Professor. The School of Insurance at SWUFE invites applications for Assistant, Associate, and Full Professor positions in health economics, public economics, risk management and insurance, actuarial science, insurance finance and accounting.

Job Qualifications: Applicants for Assistant Professor should possess a Ph.D. in related fields and provide evidence of both quality teaching and scholarly research potential. ABD's who can demonstrate significant progress towards completion of the degree by June 2019 and evidence of prior teaching performance will also be considered. 

Specific qualifications for Assistant Professor in each field are stated below.

Risk Management and Insurance: Ph.D. in Risk Management and Insurance, Economics, Management and related fields.
Actuarial Science: Ph.D. in Actuarial Science, Mathematics, or Statistics, and related fields. Applicants with related certificates are preferred.
Insurance Finance and Accounting: Ph.D. in Accounting, Finance, and related fields.
Health Economics: Ph.D. in Medical Insurance and Health Policy
Public Economics: Ph.D. in Social Security and Welfare Economics

Specific qualifications for Associate Professor and Full Professor are stated below.

Applicants for senior positions need to have above qualification and also show substantial research accomplishments and good teaching evaluation.","The salary is competitive. A compensation package includes an annual salary, a research fund, a housing allowance, as well as other fringe benefits. The compensation for senior faculty is significantly higher and can be negotiated.",NA,NA,"CHINA Sichuan Chengdu","00 - Default: Any Field","2019-01-04 00:00:00"
"2","2018-02",111461726,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Arizona State University","W. P. Carey School of Business","Economics",NA,"Open Rank - Environmental/Applied Microeconomics","The Department of Economics at Arizona State University is now inviting applications for tenure-track and tenured positions. Applicants should ideally possess a Ph.D. in Economics by the application date and have academic work experience. Applicants must demonstrate their research potential as evidenced by research papers for assistant professor applicants, and a substantial record of publications with on-going research for associate/full professor applicants. The initial application deadline is (November 30, 2018); if not filled, every two weeks thereafter until search is closed. The following website contains further information about the department: https://wpcarey.asu.edu/economics-degrees.  A background check is required for employment.  AA/ EOE
Arizona State University is an equal opportunity/affirmative action employer. Women and minorities are encouraged to apply. https://www.asu.edu/titleIX/
","Competetive",NA,NA,"UNITED STATES Arizona Tempe","00 - Default: Any Field",NA
"3","2018-02",111461194,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Australian National University","College of Business and Economics","Research School of Economics",NA,"Lecturer/Senior Lecturer","The Research School of Economics (RSE) at The Australian National University (ANU) is a leading research and research informed teaching institution. Sitting within ANU College of Business and Economics (CBE), the RSE is one of Australia<U+2019>s premier academic institutions and provides an outstanding environment for economic research, teaching and research training.

Expressions of interest are encouraged from highly qualified candidates for the positions of Lecturer or Senior Lecturer in any field of economics. Ability to teach in at least two of the following fields is essential: macroeconomics, microeconomics, or econometrics. Expressions of interest should be accompanied by at least three letters of recommendation. 

The advertised position is a tenure track research focused position offering a significantly reduced teaching load in the first 5 years and a generous research budget.

The Research School of Economics has a number of positions available. The interviews will be conducted at the AEA Meeting in Atlanta on January 4-6, 2019. 

ANU provides attractive benefits and excellent support to maintain a healthy work/life balance and offers generous remuneration benefits, including four weeks paid vacation per year, assistance with relocation expenses and 17% employer contribution to pension scheme (superannuation).

ANU values diversity and inclusion and believes employment opportunities must not be limited by socio-economic background, race, religion or gender. The University actively encourages applications from women, Aboriginal and Torres Strait Islander people and candidates from culturally and linguistically diverse backgrounds. For more information about staff equity @ ANU, visit 
https://services.anu.edu.au/human-resources/respect-inclusion or contact our Indigenous Employment Consultant via indigenous.employment@anu.edu.au. 

General information about the Research School and College can be obtained at http://www.rse.anu.edu.au. For more information, please visit http://hr.anu.edu.au/employment-at-anu.

Term: Full-Time Academic (Permanent, Tenure Track or Tenured) 
Salary Range: $98,009 - $131,402 AUD plus 17% superannuation

Application Requirements 

<U+00B7> CV 
<U+00B7> Job Market Paper 
<U+00B7> Cover Letter detailing your motivation to apply to RSE 
<U+00B7> Research Statement (optional) 
<U+00B7> Teaching Evaluations (optional)
<U+00B7> Letters of Reference 

Application deadline: 25 November 2018","$98,009 - $131,402 AUD plus 17% superannuation",NA,NA,"AUSTRALIA ACT Canberra","00 - Default: Any Field","2018-11-25 00:00:00"
"4","2018-02",111461575,"Full-Time Nonacademic","Baker & McKenzie LLP","Baker & McKenzie Consulting LLC",NA,"Economist
Analyst
Consulting","Analyst","Baker & McKenzie Consulting LLC, a subsidiary of Baker & McKenzie LLP, provides economics consulting services to a wide range of multinational businesses located around the world.  Our economists and analysts conduct economic and financial analyses for tax, transfer pricing, litigation, and dispute resolution.  This includes valuations of intangible assets, establishment of arm<U+2019>s length pricing, development and implementation of transfer pricing models, and analysis of financial transactions.  (Baker & McKenzie Consulting LLC does not provide legal advice or services.)

Baker & McKenzie Consulting LLC currently is seeking qualified candidates to participate in various challenging economic consulting engagements, transfer pricing, and tax advisory to contribute to the delivery of world-class service to a diverse and extensive client base.  Candidates should be self-starters with excellent communication, interpersonal, analytical, and organizational skills, including strong writing and presentation skills.  Successful candidates will be placed as analyst (or potentially higher based on experience).  Our analysts conduct research, perform analyses and valuations, and prepare documents and reports.  They also analyze data, build quantitative models, apply knowledge in economics, finance, statistics, accounting and business analytics to client facts, and present logical conclusions to clients.

Candidates will have a Ph.D. or Master<U+2019>s degree in Economics or related fields.
","Based on experience level",NA,NA,"UNITED STATES New York New York
UNITED STATES Illinois Chicago
UNITED STATES District of Columbia Washington, D.C.
UNITED STATES California Palo Alto
UNITED STATES Texas Houston","00 - Default: Any Field","2019-01-31 00:00:00"
"5","2018-02",111461701,"Full-Time Nonacademic","Bates White Economic Consulting",NA,NA,"Machine Learning
Big data
Econometrics","Economist","Bates White, located in Washington, DC, is seeking PhD candidates and experienced PhDs to work closely with senior staff and partners on high-profile engagements. Responsibilities include developing analytical frameworks for big data, designing machine learning tools, and tackling complex empirical problems. We seek candidates who think creatively about economic problems and who enjoy conveying solutions to non-economists.

Bates White specializes in providing advanced economic, financial, and econometric analysis to law firms, companies, and government agencies. We help clients tackle tough issues with confidence and pride ourselves on delivering top-notch consulting and expert testimony. But what makes us successful is our commitment to providing a positive and rewarding experience<U+2014>for our employees, our clients, and the community. 

The firm is recognized by leading academics and professionals as a premier place to work. Bates White has an innovative and entrepreneurial culture where bright minds from diverse backgrounds come together to solve difficult challenges facing legal, business, and government decision makers in the United States and around the world. In addition, the firm maintains strong relationships with key academics and industry experts. We are seeking individuals who specialize in:  industrial organization, applied econometrics, applied microeconomics, financial economics, labor, healthcare, and big data and machine learning. 

Bates White is deeply committed to providing a quality work experience and fostering and maintaining a diverse workforce and an inclusive culture. This is evidenced in the firm<U+2019>s academic focus, career development programs, and employee engagement activities (e.g., women<U+2019>s network, community initiatives, and diversity-inclusion programs). Furthermore, Bates White rewards employees with highly competitive compensation and benefit programs. 
",NA,NA,NA,"UNITED STATES District of Columbia Washington","C1 - Econometric and Statistical Methods and Methodology:  General
C0 - General
C5 - Econometric Modeling","2018-11-21 00:00:00"
"6","2018-02",111461655,"International: Other Academic (Visiting or Temporary)","Bocconi University",NA,"Economics",NA,"Post-Doctoral Researcher Position","Bocconi University is offering one post-doctoral research position in Economics of Crime starting on September 1st, 2019.The position is financed by the Endowed Associate Professorship in the Economic Analysis of Crime(Prof.Pinotti). 

The successful candidate will be a young researcher with strong quantitative skills, holding (or being close to complete) a PhD in Economics or related disciplines.(S)he will conduct independent research while concurrently collaborating with Prof.Pinotti and other Bocconi professors on ongoing projects in the area of crime and related fields (political economy, labor, and development).

The contract will run for 2 years, renewable after the first 2 years.The renewal will be based solely on satisfactory performance.There are no teaching obligations for the entire duration of the contract.Generous research funds will also be available. 

Candidates for the positions should submit to recruiting-adr@unibocconi.it: the application form, a cover letter, up to 4 reference letters, a CV, a job market paper and a list of other papers and publications. Applications will be considered on a rolling basis starting immediately. 

Interviews may be arranged on Skype, at the European Job Market in Naples (December 6-7, 2018) and at the ASSA Meetings in Atlanta (January 4-6, 2019).

Enquiries to:
- Professor Pinotti, paolo.pinotti@unibocconi.it 
- Administrative: erika.somma@unibocconi.it","Euro 40.000",NA,NA,"ITALY Lombardy Milan","00 - Default: Any Field","2019-02-01 00:00:00"
"7","2018-02",111461645,"Full-Time Nonacademic","Bureau of Labor Statistics","Division of Price and Index Number Research","Office of Prices and Living Conditions",NA,"Research Economist","The Division of Price and Index Number Research (DPINR) is a research department, consisting of 10 PhD economists with expertise across a range of different fields. DPINR Economists split their time between (1) engaging in self-directed academic research, and (2) consulting on issues related to Consumer/Import-Export/Producer Price Indexes and the Consumer Expenditure Survey (CE). More information about the division is available at https://www.bls.gov/pir/.  

Economists in All Fields and levels of experience are encouraged to apply. No prior experience with price indexes or research pertaining to consumer behavior is necessary. The applicant's field of concentration is less important than the desire and ability to execute frontier research and help BLS improve its published price index and consumer expenditure (CE) statistics. However, prior experience and/or research interests related to import/export prices, data science (including working with Big Data and/or administrative data), demand estimation, consumer welfare, or the measurement of economic well-being are a plus. Research economists are expected to be active within the academic community by presenting their research and publishing in peer-reviewed journals. Consulting duties include collaboration with price index and CE program staff to improve official measurement and aggregation methodologies by incorporate cutting-edge economic tools and research.

U.S. citizenship required.","$81,548-$148,967",NA,NA,"UNITED STATES District of Columbia Washington","00 - Default: Any Field","2018-12-01 00:00:00"
"8","2018-02",111461679,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Butler University","Lacy School of Business","Economics, Law and Finance","Economics
Economic History
Comparative Economics
Law and Economics
Political Economics","Assistant/Associate/Efroymson Endowed Chair in Economics","The Lacy School of Business invites applications for a tenure-track position in Economics at either the assistant or associate professor rank.<U+00A0><U+00A0> While this is an open search, appropriately qualified candidates will be considered for the endowed Clarence Efroymson Chair in Economics with the rank of associate professor.<U+00A0>

Candidates at any level must have a Ph.D. in Economics and demonstrate that they will be excellent teachers. Preference will be given to candidates who (1) demonstrate a willingness to teach various upper level economics electives, especially those of interest to undergraduate liberal arts and sciences students, and (2) have published in more than one subfield of economics and are interested in interdisciplinary research.<U+00A0> Potential fields of expertise include (but are not limited to): Economic History, Comparative Economic Systems, Law & Economics, Environmental and Resource Economics, Public Economics, and Political Economy.  The economists are housed in the Lacy School of Business. <U+00A0>Students in the business school can earn a Bachelor of Science in Economics. <U+00A0>Students in the College of Liberal Arts and Sciences can earn a Bachelor of Arts in Economics.

Fully accredited by AACSB-International, the Lacy School of Business enrolls over 1100 full-time undergraduates and nearly 250 part-time MBA students.  It has a Master of Professional Accounting program and a Master of Risk and Insurance program.  Butler provides personalized liberal and professional education to 4,400 undergraduate and 500 graduate students in its six colleges. 

Butler University is committed to enhancing the diversity of the student body and our faculty and staff.<U+00A0>In addition, hiring decisions are made on the basis of an individual's qualifications, past experience, overall performance, and other employment-related criteria.<U+00A0>Butler University provides equal opportunities for employment and advancement for all individuals, regardless of age, gender, race, religion, color, disability, veteran status, sexual orientation, national origin, or any other legally protected category.",NA,NA,NA,"UNITED STATES Indiana Indianapolis","A - General Economics and Teaching",NA
"9","2018-02",111461781,"Full-Time Nonacademic","Center for Global Development",NA,NA,"Economics
Public Policy
Development
","Post-Doctoral Research Fellowship","The Center for Global Development (CGD) is now accepting applications for its Post-Doctoral Research Fellowship program. The Post-Doctoral Research Fellowship is a one year term appointment running from mid-2019 to mid-2020, with the precise dates flexible. The position is intended for new graduates or very recent graduates of PhD programs in the social sciences. CGD is an independent, non-partisan, Washington, DC think tank dedicated to reducing global poverty and inequality through policy-oriented research and active engagement on development issues with the policy community and the public. 

CGD studies the policies of the US and other industrialized countries that affect development prospects in poor countries. The Center aims to provide young scholars an opportunity to apply their research skills in an active policy environment, collaborating with a world-renowned research staff of economists and political scientists and taking advantage of the research support of CGD research assistants. Staff work with policymakers seeking rigorous and independent advice on development-related issues. Two Nobel Laureates currently serve on our Board and we have extensive links to top development researchers all over the world. Our previous postdocs have subsequently gone on to tenure track appointments at Stanford, U.N.C. Chapel Hill, Yale, Tufts, N.Y.U., U.C. San Diego, the University of Maryland, Georgetown University, University of Pittsburgh, and U.C. Davis. For more information about our former postdocs, please visit http://www.cgdev.org/page/postdoc.

To Apply: https://centerforglobaldevelopment.applytojob.com/apply/lmwREj7jDn/PostDoctoral-Research-Fellowship

All applications must be submitted using the link above.

Interested applicants should submit a CV, job market paper, and cover letter. Applications that do not include all three items will not be considered. Your cover letter should describe in some detail the research you would pursue during a year at CGD, and signal your willingness to move to Washington for one year (an important selection criterion). Preference will be given to candidates whose research interests align with CGD<U+2019>s<U+2014>which is to say that they should bear some connection, broadly interpreted, to the effect of high-income countries<U+2019> public or private sectors on low-income countries.

We also strongly encourage you to submit a letter of recommendation from your adviser(s), which will do much to support your application, but this is not required. After submitting your application online, candidates will receive an email with a link to submit recommendation letters. This link can be shared directly with your adviser, if you choose.

CGD is an Equal Opportunity Employer. All persons regardless of race, color, creed, national origin, ancestry, sex, marital status, disability, religious or political affiliation, age or sexual orientation shall have equal access to positions, limited only by their ability to do the job. Finalist will be subject to a background verification as a condition of a job offer. 

Application deadline: Friday, December 7, 2018","75000",NA,NA,"UNITED STATES District of Columbia Washington","Y - Miscellaneous Categories","2018-12-07 00:00:00"
"10","2018-02",111461623,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Central University of Finance and Economics",NA,NA,"School of Statistics and Mathematics of CUFE invite applications for several positions at all ranks (Assistant, Associate, and Full Professor) in Statistics, Mathematics, and Quantitative Economics.","Assistant, Associate, and Full Professor","Located in downtown Beijing, the capital of China, and established in 1949, Central University of Finance and Economics(CUFE), under the leadership of the Ministry of Education, is one of the leading comprehensive universities covering extensive disciplines in law, arts, sciences and engineering, and it is also distinguished in economics and management. 

School of Statistics and Mathematics of CUFE consists of three first-level disciplines: statistics, mathematics and applied economics, with first-level master's degree programs, doctoral programs and post-doctoral research stations. We invite applications for several positions at all ranks (Assistant, Associate, and Full Professor) in Statistics, Mathematics, and Quantitative Economics. Candidates are required to have a Ph.D by September 2019 and should show outstanding research and teaching ability. Candidates for senior ranks should have a proven research record. Salary and benefits are competitive and commensurate with qualifications and experience. Candidate interviews will be conducted in Atlanta, at the 2019 AEA Annual Meeting on January 4-6, 2019.

Interested and qualified applicants should send a letter of application, a curriculum vitae, three letters of reference, and representative papers or publications via email to designated mailboxes listed below (cnxueyushan@163.com; yinxj@cufe.edu.cn)

1) Statistics (Data Science priority)
2) Mathematics 
3) Applied Statistics 
4) Quantitative Economics
",NA,NA,NA,"CHINA Beijing","C0 - General",NA
